brand	family	line	model	av_type	key_specs	priority	value_kind	notes
APPLE	APPLE_TV	4K	Apple TV 4K	STREAMING_DEVICE	tvOS 4K HDR	100	head	representative head seed; not full global registry
GOOGLE	CHROMECAST	GOOGLE_TV	Chromecast with Google TV	STREAMING_DEVICE	Google TV 4K	94	head	representative head seed; not full global registry
GOOGLE	GOOGLE_TV_STREAMER	4K	Google TV Streamer 4K	STREAMING_DEVICE	Google TV 4K	93	head	representative head seed; not full global registry
ROKU	ULTRA	ULTRA	Roku Ultra	STREAMING_DEVICE	Roku OS 4K	90	head	representative head seed; not full global registry
ROKU	EXPRESS	EXPRESS_4K	Roku Express 4K	STREAMING_DEVICE	Roku OS 4K	86	head	representative head seed; not full global registry
AMAZON	FIRE_TV	STICK_4K_MAX	Fire TV Stick 4K Max	STREAMING_DEVICE	Fire TV OS 4K	94	head	representative head seed; not full global registry
NVIDIA	SHIELD_TV	PRO	Shield TV Pro	STREAMING_DEVICE	Android TV 4K	95	head	representative head seed; not full global registry
XIAOMI	TV_BOX	S_2ND_GEN	TV Box S 2nd Gen	TV_BOX	Google TV 4K	88	head	representative head seed; not full global registry
FORMULER	Z_SERIES	Z11_PRO_MAX	Z11 Pro Max	TV_BOX	IPTV Android box	82	head	representative head seed; not full global registry
INFOMIR	MAG	MAG524	MAG 524w3	SET_TOP_BOX	IPTV set-top box	80	head	representative head seed; not full global registry
DENON	AVR_X	X1800H	AVR-X1800H	AV_RECEIVER	7.2 channel AV receiver	95	head	representative head seed; not full global registry
DENON	AVR_X	X2800H	AVR-X2800H	AV_RECEIVER	7.2 channel AV receiver	92	head	representative head seed; not full global registry
DENON	AVR_X	X3800H	AVR-X3800H	AV_RECEIVER	9.4 channel AV receiver	94	head	representative head seed; not full global registry
MARANTZ	CINEMA	CINEMA_50	Cinema 50	AV_RECEIVER	9.4 channel AV receiver	93	head	representative head seed; not full global registry
YAMAHA	RX_V	V6A	RX-V6A	AV_RECEIVER	7.2 channel AV receiver	88	head	representative head seed; not full global registry
ONKYO	TX_NR	NR6100	TX-NR6100	AV_RECEIVER	7.2 channel AV receiver	86	head	representative head seed; not full global registry
PIONEER	VSX	935	VSX-935	AV_RECEIVER	7.2 channel AV receiver	82	head	representative head seed; not full global registry
SONY	HOME_THEATER	HT_A9	HT-A9	HOME_THEATER_SYSTEM	wireless home theater system	88	head	representative head seed; not full global registry
YAMAHA	YHT	YHT_4950U	YHT-4950U	HOME_THEATER_SYSTEM	5.1 home theater kit	82	head	representative head seed; not full global registry
LG	HOME_THEATER	LHB	LHB655	HOME_THEATER_SYSTEM	5.1 Blu-ray home theater	75	head	representative head seed; not full global registry
SONY	UBP	X700	UBP-X700	DVD_BLU_RAY_PLAYER	UHD Blu-ray player	90	head	representative head seed; not full global registry
PANASONIC	DP_UB	UB820	DP-UB820	DVD_BLU_RAY_PLAYER	UHD Blu-ray player	92	head	representative head seed; not full global registry
LG	UBK	UBK90	UBK90	DVD_BLU_RAY_PLAYER	UHD Blu-ray player	82	head	representative head seed; not full global registry
APPLE	SIRI_REMOTE	3RD_GEN	Siri Remote 3rd gen	REMOTE_CONTROL	Apple TV remote	88	head	representative head seed; not full global registry
SAMSUNG	SMART_REMOTE	BN59	Smart Remote BN59	REMOTE_CONTROL	Samsung TV remote	82	head	representative head seed; not full global registry
LG	MAGIC_REMOTE	MR_SERIES	Magic Remote MR23	REMOTE_CONTROL	LG webOS remote	85	head	representative head seed; not full global registry
SONY	VOICE_REMOTE	RMF	Voice Remote RMF-TX	REMOTE_CONTROL	Sony Google TV remote	82	head	representative head seed; not full global registry
ROKU	VOICE_REMOTE	PRO	Voice Remote Pro	REMOTE_CONTROL	Roku remote	80	head	representative head seed; not full global registry
SANUS	TV_MOUNT	VLF	VLF728	TV_MOUNT	full motion TV mount	80	head	representative head seed; not full global registry
VOGELS	WALL	TVM	TVM 5445	TV_MOUNT	full motion TV wall mount	80	head	representative head seed; not full global registry
ONKRON	TV_MOUNT	M_SERIES	M4	TV_MOUNT	tilt/full motion TV mount	76	head	representative head seed; not full global registry
KROMAX	TV_MOUNT	ATLANTIS	Atlantis-99	TV_MOUNT	large TV bracket	74	head	representative head seed; not full global registry
ELITE_SCREENS	SABLE_FRAME	B2	Sable Frame B2	PROJECTOR_SCREEN	fixed frame projection screen	82	head	representative head seed; not full global registry
ELITE_SCREENS	YARD_MASTER	PLUS	Yard Master Plus	PROJECTOR_SCREEN	portable projection screen	75	head	representative head seed; not full global registry
LUMENE	MOVIE_PALACE	UHD	Movie Palace UHD 4K	PROJECTOR_SCREEN	fixed projection screen	78	head	representative head seed; not full global registry
PROJECTA	DESCENDER	PRO	Descender Pro	PROJECTOR_SCREEN	motorized screen	77	head	representative head seed; not full global registry
SILVER_TICKET	STR	STR	STR Series	PROJECTOR_SCREEN	fixed frame screen	76	head	representative head seed; not full global registry
