query	expected_categoryCode	expected_type	polarity	notes
quietcomfort headphones	TECH.AUDIO	HEADPHONES	positive	head_model
bose quietcomfort headphones	TECH.AUDIO	HEADPHONES	positive	brand_model
quietcomfort ultra earbuds	TECH.AUDIO	EARBUDS	positive	head_model
bose quietcomfort ultra earbuds	TECH.AUDIO	EARBUDS	positive	brand_model
soundlink flex	TECH.AUDIO	SPEAKER	positive	head_model
bose soundlink flex	TECH.AUDIO	SPEAKER	positive	brand_model
bose smart soundbar	TECH.AUDIO	SOUNDBAR	positive	head_model
bose smart soundbar	TECH.AUDIO	SOUNDBAR	positive	brand_model
jbl flip 7	TECH.AUDIO	SPEAKER	positive	head_model
jbl flip 7	TECH.AUDIO	SPEAKER	positive	brand_model
jbl charge 6	TECH.AUDIO	SPEAKER	positive	head_model
jbl charge 6	TECH.AUDIO	SPEAKER	positive	brand_model
jbl go 4	TECH.AUDIO	SPEAKER	positive	head_model
jbl go 4	TECH.AUDIO	SPEAKER	positive	brand_model
jbl partybox 320	TECH.AUDIO	SPEAKER	positive	head_model
jbl partybox 320	TECH.AUDIO	SPEAKER	positive	brand_model
jbl tune 770nc	TECH.AUDIO	HEADPHONES	positive	head_model
jbl tune 770nc	TECH.AUDIO	HEADPHONES	positive	brand_model
jbl live beam 3	TECH.AUDIO	EARBUDS	positive	head_model
jbl live beam 3	TECH.AUDIO	EARBUDS	positive	brand_model
galaxy buds3 pro	TECH.AUDIO	EARBUDS	positive	head_model
samsung galaxy buds3 pro	TECH.AUDIO	EARBUDS	positive	brand_model
galaxy buds3	TECH.AUDIO	EARBUDS	positive	head_model
samsung galaxy buds3	TECH.AUDIO	EARBUDS	positive	brand_model
samsung hw-q990d	TECH.AUDIO	SOUNDBAR	positive	head_model
samsung hw-q990d	TECH.AUDIO	SOUNDBAR	positive	brand_model
momentum 4 wireless	TECH.AUDIO	HEADPHONES	positive	head_model
sennheiser momentum 4 wireless	TECH.AUDIO	HEADPHONES	positive	brand_model
momentum true wireless 4	TECH.AUDIO	EARBUDS	positive	head_model
sennheiser momentum true wireless 4	TECH.AUDIO	EARBUDS	positive	brand_model
hd 600	TECH.AUDIO	HEADPHONES	positive	head_model
sennheiser hd 600	TECH.AUDIO	HEADPHONES	positive	brand_model
hd 650	TECH.AUDIO	HEADPHONES	positive	head_model
sennheiser hd 650	TECH.AUDIO	HEADPHONES	positive	brand_model
hd 660s2	TECH.AUDIO	HEADPHONES	positive	head_model
sennheiser hd 660s2	TECH.AUDIO	HEADPHONES	positive	brand_model
hd 560s	TECH.AUDIO	HEADPHONES	positive	head_model
sennheiser hd 560s	TECH.AUDIO	HEADPHONES	positive	brand_model
ath-m50x	TECH.AUDIO	HEADPHONES	positive	head_model
audio_technica ath-m50x	TECH.AUDIO	HEADPHONES	positive	brand_model
ath-m50xbt2	TECH.AUDIO	HEADPHONES	positive	head_model
audio_technica ath-m50xbt2	TECH.AUDIO	HEADPHONES	positive	brand_model
at2020	TECH.AUDIO	MICROPHONE	positive	head_model
audio_technica at2020	TECH.AUDIO	MICROPHONE	positive	brand_model
at-lp60x	TECH.AUDIO	TURNTABLE	positive	head_model
audio_technica at-lp60x	TECH.AUDIO	TURNTABLE	positive	brand_model
at-lp120xusb	TECH.AUDIO	TURNTABLE	positive	head_model
audio_technica at-lp120xusb	TECH.AUDIO	TURNTABLE	positive	brand_model
sm7b	TECH.AUDIO	MICROPHONE	positive	head_model
shure sm7b	TECH.AUDIO	MICROPHONE	positive	brand_model
sm58	TECH.AUDIO	MICROPHONE	positive	head_model
shure sm58	TECH.AUDIO	MICROPHONE	positive	brand_model
mv7	TECH.AUDIO	MICROPHONE	positive	head_model
shure mv7	TECH.AUDIO	MICROPHONE	positive	brand_model
se215	TECH.AUDIO	EARBUDS	positive	head_model
shure se215	TECH.AUDIO	EARBUDS	positive	brand_model
nt-usb+	TECH.AUDIO	MICROPHONE	positive	head_model
rode nt-usb+	TECH.AUDIO	MICROPHONE	positive	brand_model
podmic	TECH.AUDIO	MICROPHONE	positive	head_model
rode podmic	TECH.AUDIO	MICROPHONE	positive	brand_model
wireless go ii	TECH.AUDIO	MICROPHONE	positive	head_model
rode wireless go ii	TECH.AUDIO	MICROPHONE	positive	brand_model
scarlett 2i2 4th gen	TECH.AUDIO	AUDIO_INTERFACE	positive	head_model
focusrite scarlett 2i2 4th gen	TECH.AUDIO	AUDIO_INTERFACE	positive	brand_model
scarlett solo 4th gen	TECH.AUDIO	AUDIO_INTERFACE	positive	head_model
focusrite scarlett solo 4th gen	TECH.AUDIO	AUDIO_INTERFACE	positive	brand_model
volt 2	TECH.AUDIO	AUDIO_INTERFACE	positive	head_model
universal_audio volt 2	TECH.AUDIO	AUDIO_INTERFACE	positive	brand_model
id4 mkii	TECH.AUDIO	AUDIO_INTERFACE	positive	head_model
audient id4 mkii	TECH.AUDIO	AUDIO_INTERFACE	positive	brand_model
umc202hd	TECH.AUDIO	AUDIO_INTERFACE	positive	head_model
behringer umc202hd	TECH.AUDIO	AUDIO_INTERFACE	positive	brand_model
hs5	TECH.AUDIO	STUDIO_MONITOR	positive	head_model
yamaha hs5	TECH.AUDIO	STUDIO_MONITOR	positive	brand_model
hs8	TECH.AUDIO	STUDIO_MONITOR	positive	head_model
yamaha hs8	TECH.AUDIO	STUDIO_MONITOR	positive	brand_model
rx-v6a	TECH.AUDIO	RECEIVER_AMPLIFIER	positive	head_model
yamaha rx-v6a	TECH.AUDIO	RECEIVER_AMPLIFIER	positive	brand_model
avr-x2800h	TECH.AUDIO	RECEIVER_AMPLIFIER	positive	head_model
denon avr-x2800h	TECH.AUDIO	RECEIVER_AMPLIFIER	positive	brand_model
pm6007	TECH.AUDIO	RECEIVER_AMPLIFIER	positive	head_model
marantz pm6007	TECH.AUDIO	RECEIVER_AMPLIFIER	positive	brand_model
k11	TECH.AUDIO	DAC_AMP	positive	head_model
fiio k11	TECH.AUDIO	DAC_AMP	positive	brand_model
btr7	TECH.AUDIO	DAC_AMP	positive	head_model
fiio btr7	TECH.AUDIO	DAC_AMP	positive	brand_model
zen dac v2	TECH.AUDIO	DAC_AMP	positive	head_model
ifi zen dac v2	TECH.AUDIO	DAC_AMP	positive	brand_model
soundcore liberty 4 nc	TECH.AUDIO	EARBUDS	positive	head_model
anker_soundcore soundcore liberty 4 nc	TECH.AUDIO	EARBUDS	positive	brand_model
soundcore space one	TECH.AUDIO	HEADPHONES	positive	head_model
anker_soundcore soundcore space one	TECH.AUDIO	HEADPHONES	positive	brand_model
major iv	TECH.AUDIO	HEADPHONES	positive	head_model
marshall major iv	TECH.AUDIO	HEADPHONES	positive	brand_model
