attribute_code	value_code	label_ru	aliases_ru	priority	status	notes
streaming_protocols	DLNA	DLNA		105	head	
streaming_protocols	ROON_READY	Roon Ready		106	head	
streaming_protocols	BLUETOOTH_STREAMING	Bluetooth streaming		107	head	
input_type	USB_C	USB‑C		100	head	
input_type	USB_A	USB‑A		101	head	
input_type	XLR	XLR		102	head	
input_type	TRS	TRS		103	head	
input_type	RCA	RCA		104	head	
input_type	PHONO	Phono		105	head	
input_type	OPTICAL	Optical		106	head	
input_type	COAXIAL	Coaxial		107	head	
input_type	HDMI_ARC	HDMI ARC/eARC		108	head	
input_type	MIDI	MIDI		109	head	
input_type	BLUETOOTH	Bluetooth		110	head	
input_type	WIFI	Wi‑Fi		111	head	
output_type	HEADPHONE_OUT	Выход на наушники	headphone out	100	head	
output_type	LINE_OUT	Line out		101	head	
output_type	RCA_OUT	RCA out		102	head	
output_type	XLR_OUT	XLR out		103	head	
output_type	BALANCED_OUT	Balanced out		104	head	
output_type	SPEAKER_OUT	Акустические выходы	speaker terminals	105	head	
output_type	SUB_OUT	Subwoofer out		106	head	
output_type	OPTICAL_OUT	Optical out		107	head	
output_type	USB_OUT	USB out		108	head	
turntable_drive_type	BELT_DRIVE	Ременной привод	belt drive	100	head	
turntable_drive_type	DIRECT_DRIVE	Прямой привод	direct drive	101	head	
turntable_drive_type	IDLER_DRIVE	Роликовый привод	idler	102	head	
rpm_speed	RPM_33	33⅓	33	100	head	
rpm_speed	RPM_45	45	45	101	head	
rpm_speed	RPM_78	78	78	102	head	
receiver_channels	STEREO_2_0	2.0		100	head	
receiver_channels	AV_5_1	5.1		101	head	
receiver_channels	AV_7_1	7.1		102	head	
receiver_channels	AV_7_2	7.2		103	head	
receiver_channels	AV_9_2	9.2		104	head	
receiver_channels	AV_11_2	11.2		105	head	
surround_formats	DOLBY_ATMOS	Dolby Atmos		100	head	
surround_formats	DTS_X	DTS:X		101	head	
surround_formats	DOLBY_DIGITAL	Dolby Digital		102	head	
surround_formats	DTS	DTS		103	head	
surround_formats	AURO_3D	Auro-3D		104	head	
audio_accessory_type	EAR_PADS	Амбушюры	ear pads	100	head	
audio_accessory_type	EAR_TIPS	Насадки	ear tips	101	head	
audio_accessory_type	AUDIO_CABLE	Аудиокабель	audio cable	102	head	
audio_accessory_type	ADAPTER	Переходник	adapter	103	head	
audio_accessory_type	MIC_STAND	Микрофонная стойка	mic stand	104	head	
audio_accessory_type	BOOM_ARM	Пантограф	boom arm	105	head	
audio_accessory_type	POP_FILTER	Поп-фильтр	pop filter	106	head	
audio_accessory_type	WINDSHIELD	Ветрозащита	windshield	107	head	
audio_accessory_type	CASE_BAG	Чехол/кейс	case	108	head	
audio_accessory_type	HEADPHONE_STAND	Стойка для наушников	headphone stand	109	head	
audio_accessory_type	SPEAKER_STAND	Стойка для колонок	speaker stand	110	head	
audio_accessory_type	REMOTE	Пульт	remote	111	head	
audio_accessory_type	POWER_SUPPLY	Блок питания	power supply	112	head	
audio_accessory_type	CARTRIDGE_STYLUS	Игла/картридж	stylus cartridge	113	head	
mount_type	DESK_STAND	Настольная стойка	desk stand	100	head	
mount_type	FLOOR_STAND	Напольная стойка	floor stand	101	head	
mount_type	BOOM_ARM	Пантограф	boom arm	102	head	
mount_type	WALL_MOUNT	Настенное крепление	wall mount	103	head	
mount_type	TRIPOD	Трипод	tripod	104	head	
mount_type	SHOCK_MOUNT	Паук / shock mount	shock mount	105	head	
use_case	MUSIC	Музыка	music	100	head	
use_case	CALLS	Звонки	calls	101	head	
use_case	GAMING	Игры	gaming	102	head	
use_case	STUDIO_RECORDING	Студийная запись	studio	103	head	
use_case	PODCAST_STREAMING	Подкаст/стрим	podcast / streaming	104	head	
use_case	TV_MOVIES	ТВ/кино	tv movies	105	head	
use_case	TRAVEL	Путешествия	travel	106	head	
use_case	SPORT	Спорт	workout	107	head	
use_case	PARTY	Вечеринка	party	108	head	
use_case	HOME_THEATER	Домашний кинотеатр	home theater	109	head	
use_case	DJ	DJ	dj	110	head	
use_case	VINYL	Винил	vinyl	111	head	
use_case	FIELD_RECORDING	Полевой звук	field recording	112	head	
compatible_platform	IOS	iOS/iPhone	iphone	100	head	
compatible_platform	ANDROID	Android		101	head	
compatible_platform	WINDOWS	Windows	PC	102	head	
compatible_platform	MACOS	macOS	Mac	103	head	
compatible_platform	PLAYSTATION_5	PlayStation 5	PS5	104	head	
compatible_platform	XBOX	Xbox		105	head	
compatible_platform	NINTENDO_SWITCH	Nintendo Switch	Switch	106	head	
compatible_platform	TV	TV	телевизор	107	head	
compatible_platform	CAMERA	Камера	camera	108	head	
compatible_platform	SMART_HOME	Умный дом	smart home	109	head	
repair_history	NONE_DECLARED	Ремонта не было		100	head	
repair_history	BATTERY_REPLACED	Замена батареи		101	head	
repair_history	DRIVER_REPAIRED	Ремонт динамика/драйвера		102	head	
repair_history	CABLE_REPLACED	Замена кабеля		103	head	
repair_history	CASE_REPAIRED	Ремонт корпуса		104	head	
repair_history	UNKNOWN	Неизвестно		105	head	
refurbished_status	NEW	Новый		100	head	
refurbished_status	OPEN_BOX	Open box		101	head	
refurbished_status	SELLER_REFURBISHED	Восстановлен продавцом		102	head	
refurbished_status	MANUFACTURER_REFURBISHED	Factory refurbished		103	head	
refurbished_status	USED	Б/у		104	head	
refurbished_status	FOR_PARTS	На запчасти		105	head	
condition_grade	A	A / Отличное		100	head	
condition_grade	B	B / Хорошее		101	head	
condition_grade	C	C / Заметный износ		102	head	
condition_grade	FOR_PARTS	На запчасти		103	head	
ear_tip_size	XS	XS		100	head	
ear_tip_size	S	S		101	head	
ear_tip_size	M	M		102	head	
ear_tip_size	L	L		103	head	
ear_tip_size	XL	XL		104	head	
ear_tip_size	ASSORTED	Набор размеров		105	head	
risk_level	LOW	Низкий		100	head	
risk_level	MEDIUM	Средний		101	head	
risk_level	HIGH	Высокий		102	head	
