alias	locale	target_type	target_code	weight	route_intent	status	notes
майка топ женская	ru-RU	apparel_type	TOP	0.98	route_to_FASH.WOMEN	active	
футболка	ru-RU	apparel_type	TSHIRT	0.82	route_candidate_FASH.WOMEN	active	generic label; may need context
женская футболка	ru-RU	apparel_type	TSHIRT	0.98	route_to_FASH.WOMEN	active	
футболка женская	ru-RU	apparel_type	TSHIRT	0.98	route_to_FASH.WOMEN	active	
женские футболки	ru-RU	apparel_type	TSHIRT	0.98	route_to_FASH.WOMEN	active	
футболка оверсайз женская	ru-RU	apparel_type	TSHIRT	0.98	route_to_FASH.WOMEN	active	
t shirt women	ru-RU	apparel_type	TSHIRT	0.98	route_to_FASH.WOMEN	active	
tshirt women	ru-RU	apparel_type	TSHIRT	0.98	route_to_FASH.WOMEN	active	
рубашка	ru-RU	apparel_type	SHIRT	0.82	route_candidate_FASH.WOMEN	active	generic label; may need context
женская рубашка	ru-RU	apparel_type	SHIRT	0.98	route_to_FASH.WOMEN	active	
рубашка женская	ru-RU	apparel_type	SHIRT	0.98	route_to_FASH.WOMEN	active	
сорочка женская	ru-RU	apparel_type	SHIRT	0.98	route_to_FASH.WOMEN	active	
рубашка оверсайз женская	ru-RU	apparel_type	SHIRT	0.98	route_to_FASH.WOMEN	active	
shirt women	ru-RU	apparel_type	SHIRT	0.98	route_to_FASH.WOMEN	active	
юбка	ru-RU	apparel_type	SKIRT	0.9	route_candidate_FASH.WOMEN	active	generic label; may need context
юбка женская	ru-RU	apparel_type	SKIRT	0.98	route_to_FASH.WOMEN	active	
женская юбка	ru-RU	apparel_type	SKIRT	0.98	route_to_FASH.WOMEN	active	
юбка миди	ru-RU	apparel_type	SKIRT	0.98	route_to_FASH.WOMEN	active	
юбка мини	ru-RU	apparel_type	SKIRT	0.98	route_to_FASH.WOMEN	active	
юбка макси	ru-RU	apparel_type	SKIRT	0.98	route_to_FASH.WOMEN	active	
плиссированная юбка	ru-RU	apparel_type	SKIRT	0.98	route_to_FASH.WOMEN	active	
skirt women	ru-RU	apparel_type	SKIRT	0.98	route_to_FASH.WOMEN	active	
джинсы	ru-RU	apparel_type	JEANS	0.82	route_candidate_FASH.WOMEN	active	generic label; may need context
женские джинсы	ru-RU	apparel_type	JEANS	0.98	route_to_FASH.WOMEN	active	
джинсы женские	ru-RU	apparel_type	JEANS	0.98	route_to_FASH.WOMEN	active	
джинсы мом	ru-RU	apparel_type	JEANS	0.88	route_to_FASH.WOMEN	active	
mom jeans	ru-RU	apparel_type	JEANS	0.88	route_to_FASH.WOMEN	active	
джинсы с высокой посадкой	ru-RU	apparel_type	JEANS	0.88	route_to_FASH.WOMEN	active	
скинни женские	ru-RU	apparel_type	JEANS	0.98	route_to_FASH.WOMEN	active	
брюки	ru-RU	apparel_type	TROUSERS	0.82	route_candidate_FASH.WOMEN	active	generic label; may need context
женские брюки	ru-RU	apparel_type	TROUSERS	0.98	route_to_FASH.WOMEN	active	
брюки женские	ru-RU	apparel_type	TROUSERS	0.98	route_to_FASH.WOMEN	active	
классические брюки женские	ru-RU	apparel_type	TROUSERS	0.98	route_to_FASH.WOMEN	active	
широкие брюки женские	ru-RU	apparel_type	TROUSERS	0.98	route_to_FASH.WOMEN	active	
pants women	ru-RU	apparel_type	TROUSERS	0.98	route_to_FASH.WOMEN	active	
леггинсы	ru-RU	apparel_type	LEGGINGS	0.82	route_candidate_FASH.WOMEN	active	generic label; may need context
леггинсы женские	ru-RU	apparel_type	LEGGINGS	0.98	route_to_FASH.WOMEN	active	
женские леггинсы	ru-RU	apparel_type	LEGGINGS	0.98	route_to_FASH.WOMEN	active	
лосины женские	ru-RU	apparel_type	LEGGINGS	0.98	route_to_FASH.WOMEN	active	
спортивные леггинсы	ru-RU	apparel_type	LEGGINGS	0.88	route_to_FASH.WOMEN	active	
leggings women	ru-RU	apparel_type	LEGGINGS	0.98	route_to_FASH.WOMEN	active	
куртка	ru-RU	apparel_type	JACKET	0.82	route_candidate_FASH.WOMEN	active	generic label; may need context
женская куртка	ru-RU	apparel_type	JACKET	0.98	route_to_FASH.WOMEN	active	
куртка женская	ru-RU	apparel_type	JACKET	0.98	route_to_FASH.WOMEN	active	
куртка демисезонная женская	ru-RU	apparel_type	JACKET	0.98	route_to_FASH.WOMEN	active	
jacket women	ru-RU	apparel_type	JACKET	0.98	route_to_FASH.WOMEN	active	
пальто	ru-RU	apparel_type	COAT	0.82	route_candidate_FASH.WOMEN	active	generic label; may need context
женское пальто	ru-RU	apparel_type	COAT	0.98	route_to_FASH.WOMEN	active	
пальто женское	ru-RU	apparel_type	COAT	0.98	route_to_FASH.WOMEN	active	
пальто шерстяное женское	ru-RU	apparel_type	COAT	0.98	route_to_FASH.WOMEN	active	
coat women	ru-RU	apparel_type	COAT	0.98	route_to_FASH.WOMEN	active	
пуховик	ru-RU	apparel_type	DOWN_JACKET	0.82	route_candidate_FASH.WOMEN	active	generic label; may need context
женский пуховик	ru-RU	apparel_type	DOWN_JACKET	0.98	route_to_FASH.WOMEN	active	
пуховик женский	ru-RU	apparel_type	DOWN_JACKET	0.98	route_to_FASH.WOMEN	active	
зимний пуховик женский	ru-RU	apparel_type	DOWN_JACKET	0.98	route_to_FASH.WOMEN	active	
down jacket women	ru-RU	apparel_type	DOWN_JACKET	0.98	route_to_FASH.WOMEN	active	
кардиган	ru-RU	apparel_type	CARDIGAN	0.82	route_candidate_FASH.WOMEN	active	generic label; may need context
кардиган женский	ru-RU	apparel_type	CARDIGAN	0.98	route_to_FASH.WOMEN	active	
женский кардиган	ru-RU	apparel_type	CARDIGAN	0.98	route_to_FASH.WOMEN	active	
кардиган на пуговицах женский	ru-RU	apparel_type	CARDIGAN	0.98	route_to_FASH.WOMEN	active	
cardigan women	ru-RU	apparel_type	CARDIGAN	0.98	route_to_FASH.WOMEN	active	
свитер	ru-RU	apparel_type	SWEATER	0.82	route_candidate_FASH.WOMEN	active	generic label; may need context
женский свитер	ru-RU	apparel_type	SWEATER	0.98	route_to_FASH.WOMEN	active	
свитер женский	ru-RU	apparel_type	SWEATER	0.98	route_to_FASH.WOMEN	active	
джемпер женский	ru-RU	apparel_type	SWEATER	0.98	route_to_FASH.WOMEN	active	
пуловер женский	ru-RU	apparel_type	SWEATER	0.98	route_to_FASH.WOMEN	active	
sweater women	ru-RU	apparel_type	SWEATER	0.98	route_to_FASH.WOMEN	active	
худи	ru-RU	apparel_type	HOODIE	0.82	route_candidate_FASH.WOMEN	active	generic label; may need context
женское худи	ru-RU	apparel_type	HOODIE	0.98	route_to_FASH.WOMEN	active	
худи женское	ru-RU	apparel_type	HOODIE	0.98	route_to_FASH.WOMEN	active	
толстовка худи женская	ru-RU	apparel_type	HOODIE	0.98	route_to_FASH.WOMEN	active	
hoodie women	ru-RU	apparel_type	HOODIE	0.98	route_to_FASH.WOMEN	active	
комбинезон	ru-RU	apparel_type	JUMPSUIT	0.82	route_candidate_FASH.WOMEN	active	generic label; may need context
женский комбинезон	ru-RU	apparel_type	JUMPSUIT	0.98	route_to_FASH.WOMEN	active	
комбинезон женский	ru-RU	apparel_type	JUMPSUIT	0.98	route_to_FASH.WOMEN	active	
брючный комбинезон женский	ru-RU	apparel_type	JUMPSUIT	0.98	route_to_FASH.WOMEN	active	
jumpsuit women	ru-RU	apparel_type	JUMPSUIT	0.98	route_to_FASH.WOMEN	active	
лонгслив	ru-RU	apparel_type	LONGSLEEVE	0.82	route_candidate_FASH.WOMEN	active	generic label; may need context
женский лонгслив	ru-RU	apparel_type	LONGSLEEVE	0.98	route_to_FASH.WOMEN	active	
лонгслив женский	ru-RU	apparel_type	LONGSLEEVE	0.98	route_to_FASH.WOMEN	active	
футболка с длинным рукавом женская	ru-RU	apparel_type	LONGSLEEVE	0.98	route_to_FASH.WOMEN	active	
майка	ru-RU	apparel_type	TANK_TOP	0.82	route_candidate_FASH.WOMEN	active	generic label; may need context
майка женская	ru-RU	apparel_type	TANK_TOP	0.98	route_to_FASH.WOMEN	active	
женская майка	ru-RU	apparel_type	TANK_TOP	0.98	route_to_FASH.WOMEN	active	
топ майка женская	ru-RU	apparel_type	TANK_TOP	0.98	route_to_FASH.WOMEN	active	
tank top women	ru-RU	apparel_type	TANK_TOP	0.98	route_to_FASH.WOMEN	active	
поло	ru-RU	apparel_type	POLO	0.82	route_candidate_FASH.WOMEN	active	generic label; may need context
женское поло	ru-RU	apparel_type	POLO	0.98	route_to_FASH.WOMEN	active	
поло женское	ru-RU	apparel_type	POLO	0.98	route_to_FASH.WOMEN	active	
polo women	ru-RU	apparel_type	POLO	0.98	route_to_FASH.WOMEN	active	
свитшот	ru-RU	apparel_type	SWEATSHIRT	0.82	route_candidate_FASH.WOMEN	active	generic label; may need context
женский свитшот	ru-RU	apparel_type	SWEATSHIRT	0.98	route_to_FASH.WOMEN	active	
свитшот женский	ru-RU	apparel_type	SWEATSHIRT	0.98	route_to_FASH.WOMEN	active	
толстовка женская без капюшона	ru-RU	apparel_type	SWEATSHIRT	0.98	route_to_FASH.WOMEN	active	
шорты	ru-RU	apparel_type	SHORTS	0.82	route_candidate_FASH.WOMEN	active	generic label; may need context
женские шорты	ru-RU	apparel_type	SHORTS	0.98	route_to_FASH.WOMEN	active	
шорты женские	ru-RU	apparel_type	SHORTS	0.98	route_to_FASH.WOMEN	active	
джинсовые шорты женские	ru-RU	apparel_type	SHORTS	0.98	route_to_FASH.WOMEN	active	
shorts women	ru-RU	apparel_type	SHORTS	0.98	route_to_FASH.WOMEN	active	
костюм	ru-RU	apparel_type	SUIT	0.82	route_candidate_FASH.WOMEN	active	generic label; may need context
женский костюм	ru-RU	apparel_type	SUIT	0.98	route_to_FASH.WOMEN	active	
костюм женский	ru-RU	apparel_type	SUIT	0.98	route_to_FASH.WOMEN	active	
брючный костюм женский	ru-RU	apparel_type	SUIT	0.98	route_to_FASH.WOMEN	active	
костюм двойка женский	ru-RU	apparel_type	SUIT	0.98	route_to_FASH.WOMEN	active	
пиджак / блейзер	ru-RU	apparel_type	BLAZER	0.82	route_candidate_FASH.WOMEN	active	generic label; may need context
женский пиджак	ru-RU	apparel_type	BLAZER	0.98	route_to_FASH.WOMEN	active	
пиджак женский	ru-RU	apparel_type	BLAZER	0.98	route_to_FASH.WOMEN	active	
женский блейзер	ru-RU	apparel_type	BLAZER	0.98	route_to_FASH.WOMEN	active	
blazer women	ru-RU	apparel_type	BLAZER	0.98	route_to_FASH.WOMEN	active	
спортивный костюм	ru-RU	apparel_type	TRACKSUIT	0.82	route_candidate_FASH.WOMEN	active	generic label; may need context
женский спортивный костюм	ru-RU	apparel_type	TRACKSUIT	0.98	route_to_FASH.WOMEN	active	
спортивный костюм женский	ru-RU	apparel_type	TRACKSUIT	0.98	route_to_FASH.WOMEN	active	
tracksuit women	ru-RU	apparel_type	TRACKSUIT	0.98	route_to_FASH.WOMEN	active	
нижнее бельё	ru-RU	apparel_type	UNDERWEAR	0.82	route_candidate_FASH.WOMEN	active	generic label; may need context
женское белье	ru-RU	apparel_type	UNDERWEAR	0.98	route_to_FASH.WOMEN	active	
нижнее белье женское	ru-RU	apparel_type	UNDERWEAR	0.98	route_to_FASH.WOMEN	active	
трусы женские	ru-RU	apparel_type	UNDERWEAR	0.98	route_to_FASH.WOMEN	active	
комплект белья женский	ru-RU	apparel_type	UNDERWEAR	0.98	route_to_FASH.WOMEN	active	
бюстгальтер	ru-RU	apparel_type	BRA	0.9	route_candidate_FASH.WOMEN	active	generic label; may need context
лифчик	ru-RU	apparel_type	BRA	0.98	route_to_FASH.WOMEN	active	
бра	ru-RU	apparel_type	BRA	0.98	route_to_FASH.WOMEN	active	
женский бюстгальтер	ru-RU	apparel_type	BRA	0.98	route_to_FASH.WOMEN	active	
спортивный бра	ru-RU	apparel_type	BRA	0.98	route_to_FASH.WOMEN	active	
bra	ru-RU	apparel_type	BRA	0.98	route_to_FASH.WOMEN	active	
колготки	ru-RU	apparel_type	TIGHTS	0.9	route_candidate_FASH.WOMEN	active	generic label; may need context
женские колготки	ru-RU	apparel_type	TIGHTS	0.98	route_to_FASH.WOMEN	active	
колготки женские	ru-RU	apparel_type	TIGHTS	0.98	route_to_FASH.WOMEN	active	
капроновые колготки	ru-RU	apparel_type	TIGHTS	0.98	route_to_FASH.WOMEN	active	
tights women	ru-RU	apparel_type	TIGHTS	0.98	route_to_FASH.WOMEN	active	
носки	ru-RU	apparel_type	SOCKS	0.82	route_candidate_FASH.WOMEN	active	generic label; may need context
женские носки	ru-RU	apparel_type	SOCKS	0.98	route_to_FASH.WOMEN	active	
носки женские	ru-RU	apparel_type	SOCKS	0.98	route_to_FASH.WOMEN	active	
следки женские	ru-RU	apparel_type	SOCKS	0.98	route_to_FASH.WOMEN	active	
socks women	ru-RU	apparel_type	SOCKS	0.98	route_to_FASH.WOMEN	active	
жилет	ru-RU	apparel_type	VEST	0.82	route_candidate_FASH.WOMEN	active	generic label; may need context
женский жилет	ru-RU	apparel_type	VEST	0.98	route_to_FASH.WOMEN	active	
жилет женский	ru-RU	apparel_type	VEST	0.98	route_to_FASH.WOMEN	active	
безрукавка женская	ru-RU	apparel_type	VEST	0.98	route_to_FASH.WOMEN	active	
vest women	ru-RU	apparel_type	VEST	0.98	route_to_FASH.WOMEN	active	
чиносы	ru-RU	apparel_type	CHINOS	0.82	route_candidate_FASH.WOMEN	active	generic label; may need context
женские чиносы	ru-RU	apparel_type	CHINOS	0.98	route_to_FASH.WOMEN	active	
чиносы женские	ru-RU	apparel_type	CHINOS	0.98	route_to_FASH.WOMEN	active	
карго	ru-RU	apparel_type	CARGO_PANTS	0.82	route_candidate_FASH.WOMEN	active	generic label; may need context
женские карго	ru-RU	apparel_type	CARGO_PANTS	0.98	route_to_FASH.WOMEN	active	
брюки карго женские	ru-RU	apparel_type	CARGO_PANTS	0.98	route_to_FASH.WOMEN	active	
cargo pants women	ru-RU	apparel_type	CARGO_PANTS	0.98	route_to_FASH.WOMEN	active	
бомбер	ru-RU	apparel_type	BOMBER	0.82	route_candidate_FASH.WOMEN	active	generic label; may need context
женский бомбер	ru-RU	apparel_type	BOMBER	0.98	route_to_FASH.WOMEN	active	
бомбер женский	ru-RU	apparel_type	BOMBER	0.98	route_to_FASH.WOMEN	active	
джинсовка	ru-RU	apparel_type	DENIM_JACKET	0.82	route_candidate_FASH.WOMEN	active	generic label; may need context
женская джинсовка	ru-RU	apparel_type	DENIM_JACKET	0.98	route_to_FASH.WOMEN	active	
джинсовая куртка женская	ru-RU	apparel_type	DENIM_JACKET	0.98	route_to_FASH.WOMEN	active	
кожаная куртка	ru-RU	apparel_type	LEATHER_JACKET	0.82	route_candidate_FASH.WOMEN	active	generic label; may need context
женская кожаная куртка	ru-RU	apparel_type	LEATHER_JACKET	0.98	route_to_FASH.WOMEN	active	
косуха женская	ru-RU	apparel_type	LEATHER_JACKET	0.98	route_to_FASH.WOMEN	active	
кожанка женская	ru-RU	apparel_type	LEATHER_JACKET	0.98	route_to_FASH.WOMEN	active	
ветровка	ru-RU	apparel_type	WINDBREAKER	0.82	route_candidate_FASH.WOMEN	active	generic label; may need context
женская ветровка	ru-RU	apparel_type	WINDBREAKER	0.98	route_to_FASH.WOMEN	active	
ветровка женская	ru-RU	apparel_type	WINDBREAKER	0.98	route_to_FASH.WOMEN	active	
windbreaker women	ru-RU	apparel_type	WINDBREAKER	0.98	route_to_FASH.WOMEN	active	
парка	ru-RU	apparel_type	PARKA	0.82	route_candidate_FASH.WOMEN	active	generic label; may need context
женская парка	ru-RU	apparel_type	PARKA	0.98	route_to_FASH.WOMEN	active	
парка женская	ru-RU	apparel_type	PARKA	0.98	route_to_FASH.WOMEN	active	
термобельё	ru-RU	apparel_type	THERMAL_UNDERWEAR	0.82	route_candidate_FASH.WOMEN	active	generic label; may need context
женское термобелье	ru-RU	apparel_type	THERMAL_UNDERWEAR	0.98	route_to_FASH.WOMEN	active	
термобелье женское	ru-RU	apparel_type	THERMAL_UNDERWEAR	0.98	route_to_FASH.WOMEN	active	
спортивный верх	ru-RU	apparel_type	ACTIVE_TOP	0.82	route_candidate_FASH.WOMEN	active	generic label; may need context
спортивный топ женский	ru-RU	apparel_type	ACTIVE_TOP	0.98	route_to_FASH.WOMEN	active	
тренировочная футболка женская	ru-RU	apparel_type	ACTIVE_TOP	0.98	route_to_FASH.WOMEN	active	
active top women	ru-RU	apparel_type	ACTIVE_TOP	0.98	route_to_FASH.WOMEN	active	
спортивный низ	ru-RU	apparel_type	ACTIVE_BOTTOM	0.82	route_candidate_FASH.WOMEN	active	generic label; may need context
спортивные леггинсы женские	ru-RU	apparel_type	ACTIVE_BOTTOM	0.98	route_to_FASH.WOMEN	active	
тренировочные штаны женские	ru-RU	apparel_type	ACTIVE_BOTTOM	0.98	route_to_FASH.WOMEN	active	
active bottom women	ru-RU	apparel_type	ACTIVE_BOTTOM	0.98	route_to_FASH.WOMEN	active	
ромпер	ru-RU	apparel_type	ROMPER	0.82	route_candidate_FASH.WOMEN	active	generic label; may need context
женский ромпер	ru-RU	apparel_type	ROMPER	0.98	route_to_FASH.WOMEN	active	
ромпер женский	ru-RU	apparel_type	ROMPER	0.98	route_to_FASH.WOMEN	active	
короткий комбинезон женский	ru-RU	apparel_type	ROMPER	0.98	route_to_FASH.WOMEN	active	
водолазка	ru-RU	apparel_type	TURTLENECK	0.82	route_candidate_FASH.WOMEN	active	generic label; may need context
женская водолазка	ru-RU	apparel_type	TURTLENECK	0.98	route_to_FASH.WOMEN	active	
водолазка женская	ru-RU	apparel_type	TURTLENECK	0.98	route_to_FASH.WOMEN	active	
плащ / дождевик	ru-RU	apparel_type	RAINCOAT	0.82	route_candidate_FASH.WOMEN	active	generic label; may need context
женский плащ	ru-RU	apparel_type	RAINCOAT	0.98	route_to_FASH.WOMEN	active	
плащ женский	ru-RU	apparel_type	RAINCOAT	0.98	route_to_FASH.WOMEN	active	
дождевик женский	ru-RU	apparel_type	RAINCOAT	0.98	route_to_FASH.WOMEN	active	
халат	ru-RU	apparel_type	ROBE	0.82	route_candidate_FASH.WOMEN	active	generic label; may need context
женский халат	ru-RU	apparel_type	ROBE	0.98	route_to_FASH.WOMEN	active	
халат женский	ru-RU	apparel_type	ROBE	0.98	route_to_FASH.WOMEN	active	
пижама	ru-RU	apparel_type	PAJAMAS	0.82	route_candidate_FASH.WOMEN	active	generic label; may need context
женская пижама	ru-RU	apparel_type	PAJAMAS	0.98	route_to_FASH.WOMEN	active	
пижама женская	ru-RU	apparel_type	PAJAMAS	0.98	route_to_FASH.WOMEN	active	
пижамный комплект женский	ru-RU	apparel_type	PAJAMAS	0.98	route_to_FASH.WOMEN	active	
купальник	ru-RU	apparel_type	SWIMWEAR	0.9	route_candidate_FASH.WOMEN	active	generic label; may need context
купальник женский	ru-RU	apparel_type	SWIMWEAR	0.98	route_to_FASH.WOMEN	active	
женский купальник	ru-RU	apparel_type	SWIMWEAR	0.98	route_to_FASH.WOMEN	active	
раздельный купальник	ru-RU	apparel_type	SWIMWEAR	0.98	route_to_FASH.WOMEN	active	
слитный купальник	ru-RU	apparel_type	SWIMWEAR	0.98	route_to_FASH.WOMEN	active	
форма / спецодежда	ru-RU	apparel_type	UNIFORM	0.82	route_candidate_FASH.WOMEN	active	generic label; may need context
женская форма	ru-RU	apparel_type	UNIFORM	0.98	route_to_FASH.WOMEN	active	
спецодежда женская	ru-RU	apparel_type	UNIFORM	0.98	route_to_FASH.WOMEN	active	
униформа женская	ru-RU	apparel_type	UNIFORM	0.98	route_to_FASH.WOMEN	active	
платье вечернее	ru-RU	dictionary_value	occasion:EVENING	0.86	value_hint_for_FASH.WOMEN	active	
платье офисное	ru-RU	dictionary_value	occasion:BUSINESS	0.86	value_hint_for_FASH.WOMEN	active	
платье летнее	ru-RU	dictionary_value	season:SUMMER	0.86	value_hint_for_FASH.WOMEN	active	
пуховик зимний женский	ru-RU	dictionary_value	season:WINTER	0.86	value_hint_for_FASH.WOMEN	active	
мини юбка	ru-RU	dictionary_value	length_type:MINI	0.86	value_hint_for_FASH.WOMEN	active	
миди юбка	ru-RU	dictionary_value	length_type:MIDI	0.86	value_hint_for_FASH.WOMEN	active	
макси юбка	ru-RU	dictionary_value	length_type:MAXI	0.86	value_hint_for_FASH.WOMEN	active	
высокая посадка женские джинсы	ru-RU	dictionary_value	waist_rise:HIGH	0.86	value_hint_for_FASH.WOMEN	active	
оверсайз женский	ru-RU	dictionary_value	fit:OVERSIZED	0.86	value_hint_for_FASH.WOMEN	active	
приталенное платье	ru-RU	dictionary_value	fit:SLIM	0.86	value_hint_for_FASH.WOMEN	active	
хлопковая женская футболка	ru-RU	dictionary_value	material:COTTON	0.86	value_hint_for_FASH.WOMEN	active	
шелковая блузка	ru-RU	dictionary_value	material:SILK	0.86	value_hint_for_FASH.WOMEN	active	
кашемировый свитер женский	ru-RU	dictionary_value	material:CASHMERE	0.86	value_hint_for_FASH.WOMEN	active	
кружевное белье	ru-RU	dictionary_value	material:LACE	0.86	value_hint_for_FASH.WOMEN	active	
кожаная куртка женская	ru-RU	dictionary_value	material:LEATHER	0.86	value_hint_for_FASH.WOMEN	active	
женские кроссовки	ru-RU	route_guard	FASH.SHOES	1.0	force_other_route	active	negative guard
женская сумка	ru-RU	route_guard	FASH.BAGS	1.0	force_other_route	active	negative guard
женский ремень	ru-RU	route_guard	FASH.ACCESSORIES	1.0	force_other_route	active	negative guard
женские часы	ru-RU	route_guard	FASH.ACCESSORIES	1.0	force_other_route	active	negative guard
женский парфюм	ru-RU	route_guard	BEAUTY.FRAGRANCE	1.0	force_other_route	active	negative guard
детское платье	ru-RU	route_guard	FASH.KIDS	1.0	force_other_route	active	negative guard
платье для девочки	ru-RU	route_guard	FASH.KIDS	1.0	force_other_route	active	negative guard
