query	expected_route	expected_apparel_type	expected_target_gender	should_not_route_to	intent	notes
женское платье белое размер M	FASH.WOMEN	DRESS	WOMEN		positive_variant	
женская блузка белое размер M	FASH.WOMEN	BLOUSE	WOMEN		positive_variant	
женская футболка белое размер M	FASH.WOMEN	TSHIRT	WOMEN		positive_variant	
женские джинсы белое размер M	FASH.WOMEN	JEANS	WOMEN		positive_variant	
женская юбка белое размер M	FASH.WOMEN	SKIRT	WOMEN		positive_variant	
женское платье синее размер M	FASH.WOMEN	DRESS	WOMEN		positive_variant	
женская блузка синее размер M	FASH.WOMEN	BLOUSE	WOMEN		positive_variant	
женская футболка синее размер M	FASH.WOMEN	TSHIRT	WOMEN		positive_variant	
женские джинсы синее размер M	FASH.WOMEN	JEANS	WOMEN		positive_variant	
женская юбка синее размер M	FASH.WOMEN	SKIRT	WOMEN		positive_variant	
женское платье бежевое размер M	FASH.WOMEN	DRESS	WOMEN		positive_variant	
женская блузка бежевое размер M	FASH.WOMEN	BLOUSE	WOMEN		positive_variant	
женская футболка бежевое размер M	FASH.WOMEN	TSHIRT	WOMEN		positive_variant	
женские джинсы бежевое размер M	FASH.WOMEN	JEANS	WOMEN		positive_variant	
женская юбка бежевое размер M	FASH.WOMEN	SKIRT	WOMEN		positive_variant	
женское платье розовое размер M	FASH.WOMEN	DRESS	WOMEN		positive_variant	
женская блузка розовое размер M	FASH.WOMEN	BLOUSE	WOMEN		positive_variant	
женская футболка розовое размер M	FASH.WOMEN	TSHIRT	WOMEN		positive_variant	
женские джинсы розовое размер M	FASH.WOMEN	JEANS	WOMEN		positive_variant	
женская юбка розовое размер M	FASH.WOMEN	SKIRT	WOMEN		positive_variant	
женское платье красное размер M	FASH.WOMEN	DRESS	WOMEN		positive_variant	
женская блузка красное размер M	FASH.WOMEN	BLOUSE	WOMEN		positive_variant	
женская футболка красное размер M	FASH.WOMEN	TSHIRT	WOMEN		positive_variant	
женские джинсы красное размер M	FASH.WOMEN	JEANS	WOMEN		positive_variant	
женская юбка красное размер M	FASH.WOMEN	SKIRT	WOMEN		positive_variant	
женское платье размер XS	FASH.WOMEN	DRESS	WOMEN		size_variant	
женское платье размер S	FASH.WOMEN	DRESS	WOMEN		size_variant	
женское платье размер M	FASH.WOMEN	DRESS	WOMEN		size_variant	
женское платье размер L	FASH.WOMEN	DRESS	WOMEN		size_variant	
женское платье размер XL	FASH.WOMEN	DRESS	WOMEN		size_variant	
женское платье размер RU_42	FASH.WOMEN	DRESS	WOMEN		size_variant	
женское платье размер RU_44	FASH.WOMEN	DRESS	WOMEN		size_variant	
женское платье размер RU_46	FASH.WOMEN	DRESS	WOMEN		size_variant	
женское платье размер EU_38	FASH.WOMEN	DRESS	WOMEN		size_variant	
женское платье размер W28	FASH.WOMEN	DRESS	WOMEN		size_variant	
женское платье размер W30	FASH.WOMEN	DRESS	WOMEN		size_variant	
