model_code	brand	manufacturer_brand	brand_parent	family	line	model	phone_type	release_year	market_priority_tier	resale_liquidity_tier	region_scope	seed_status	storage_values	ram_values	color_hint_values	source_policy	notes
APPLE_IPHONE_AIR	APPLE	APPLE		IPHONE	Air	iPhone Air	SMARTPHONE	2025	A	B	GLOBAL	active_head	256|512|1024			official_apple_compare_2026_05	
APPLE_IPHONE_17E	APPLE	APPLE		IPHONE	17	iPhone 17e	SMARTPHONE	2026	A	B	GLOBAL	active_head	256|512			official_apple_compare_2026_05	
GOOGLE_PIXEL_8	GOOGLE	GOOGLE		PIXEL	8	Pixel 8	SMARTPHONE	2023	A	A	GLOBAL	active_head	128|256	8		official_google_store_or_market_head_seed	
GOOGLE_PIXEL_8_PRO	GOOGLE	GOOGLE		PIXEL	8	Pixel 8 Pro	SMARTPHONE	2023	A	A	GLOBAL	active_head	128|256|512|1024	12		official_google_store_or_market_head_seed	
GOOGLE_PIXEL_8A	GOOGLE	GOOGLE		PIXEL	8A	Pixel 8a	SMARTPHONE	2024	A	A	GLOBAL	active_head	128|256	8		official_google_store_or_market_head_seed	
GOOGLE_PIXEL_9	GOOGLE	GOOGLE		PIXEL	9	Pixel 9	SMARTPHONE	2024	A	A	GLOBAL	active_head	128|256	12		official_google_store_or_market_head_seed	
GOOGLE_PIXEL_10_PRO_FOLD	GOOGLE	GOOGLE		PIXEL	10	Pixel 10 Pro Fold	SMARTPHONE	2025	A	B	GLOBAL	active_head	256|512	16		official_google_store_or_market_head_seed	
GOOGLE_PIXEL_9A	GOOGLE	GOOGLE		PIXEL	9A	Pixel 9a	SMARTPHONE	2025	A	B	GLOBAL	active_head	128|256	8		official_google_store_or_market_head_seed	
HONOR_HONOR_400	HONOR	HONOR		HONOR_NUMBER	400	Honor 400	SMARTPHONE	2025	A	B	GLOBAL	active_head	256|512	8|12		market_head_seed_soft	
HONOR_HONOR_400_PRO	HONOR	HONOR		HONOR_NUMBER	400	Honor 400 Pro	SMARTPHONE	2025	A	B	GLOBAL	active_head	256|512	12		market_head_seed_soft	
HONOR_HONOR_MAGIC7_PRO	HONOR	HONOR		HONOR_MAGIC	MAGIC_7	Honor Magic7 Pro	SMARTPHONE	2025	A	B	GLOBAL	active_head	256|512	12		market_head_seed_soft	
HUAWEI_HUAWEI_MATE_70_PRO	HUAWEI	HUAWEI		HUAWEI_MATE	MATE_70	Huawei Mate 70 Pro	SMARTPHONE	2024	A	B	GLOBAL	active_head	256|512|1024	12		market_head_seed_soft	
HUAWEI_HUAWEI_PURA_70_ULTRA	HUAWEI	HUAWEI		HUAWEI_P	PURA_70	Huawei Pura 70 Ultra	SMARTPHONE	2024	A	B	GLOBAL	active_head	512|1024	16		market_head_seed_soft	
NOTHING_NOTHING_PHONE_3	NOTHING	NOTHING		NOTHING_PHONE	PHONE_3	Nothing Phone (3)	SMARTPHONE	2025	A	B	GLOBAL	active_head	256|512	12|16		market_head_seed_soft	
ONEPLUS_ONEPLUS_12	ONEPLUS	ONEPLUS		ONEPLUS_NUMBER	12	OnePlus 12	SMARTPHONE	2024	A	B	GLOBAL	active_head	256|512	12|16		market_head_seed_soft	
ONEPLUS_ONEPLUS_13	ONEPLUS	ONEPLUS		ONEPLUS_NUMBER	13	OnePlus 13	SMARTPHONE	2025	A	B	GLOBAL	active_head	256|512|1024	12|16|24		market_head_seed_soft	
OPPO_OPPO_FIND_X8_PRO	OPPO	OPPO		OPPO_FIND	FIND_X8	OPPO Find X8 Pro	SMARTPHONE	2024	A	B	GLOBAL	active_head	256|512|1024	12|16		market_head_seed_soft	
POCO_POCO_F6	POCO	XIAOMI	XIAOMI	POCO_F	F6	POCO F6	SMARTPHONE	2024	A	B	GLOBAL	active_head	256|512	8|12		official_xiaomi_or_market_head_seed	
POCO_POCO_F6_PRO	POCO	XIAOMI	XIAOMI	POCO_F	F6	POCO F6 Pro	SMARTPHONE	2024	A	B	GLOBAL	active_head	256|512|1024	12|16		official_xiaomi_or_market_head_seed	
POCO_POCO_X6_PRO	POCO	XIAOMI	XIAOMI	POCO_X	X6	POCO X6 Pro	SMARTPHONE	2024	A	B	GLOBAL	active_head	256|512	8|12		official_xiaomi_or_market_head_seed	
POCO_POCO_F7	POCO	XIAOMI	XIAOMI	POCO_F	F7	POCO F7	SMARTPHONE	2025	A	B	GLOBAL	active_head	256|512	8|12		official_xiaomi_or_market_head_seed	
POCO_POCO_F7_PRO	POCO	XIAOMI	XIAOMI	POCO_F	F7	POCO F7 Pro	SMARTPHONE	2025	A	B	GLOBAL	active_head	256|512	12		official_xiaomi_or_market_head_seed	
POCO_POCO_X7_PRO	POCO	XIAOMI	XIAOMI	POCO_X	X7	POCO X7 Pro	SMARTPHONE	2025	A	B	GLOBAL	active_head	256|512	8|12		official_xiaomi_or_market_head_seed	
REALME_REALME_GT_7_PRO	REALME	REALME		REALME_GT	GT_7	realme GT 7 Pro	SMARTPHONE	2025	A	B	GLOBAL	active_head	256|512	12|16		market_head_seed_soft	
REDMI_REDMI_NOTE_13_PRO_5G	REDMI	XIAOMI	XIAOMI	REDMI_NOTE	NOTE_13	Redmi Note 13 Pro 5G	SMARTPHONE	2024	A	A	GLOBAL	active_head	128|256|512	8|12		official_xiaomi_or_market_head_seed	
REDMI_REDMI_NOTE_13_PRO_PLUS_5G	REDMI	XIAOMI	XIAOMI	REDMI_NOTE	NOTE_13	Redmi Note 13 Pro+ 5G	SMARTPHONE	2024	A	A	GLOBAL	active_head	256|512	8|12		official_xiaomi_or_market_head_seed	
REDMI_REDMI_NOTE_14_5G	REDMI	XIAOMI	XIAOMI	REDMI_NOTE	NOTE_14	Redmi Note 14 5G	SMARTPHONE	2025	A	A	GLOBAL	active_head	128|256	6|8		official_xiaomi_or_market_head_seed	
SAMSUNG_GALAXY_A54_5G	SAMSUNG	SAMSUNG		GALAXY_A	A54	Galaxy A54 5G	SMARTPHONE	2023	A	A	GLOBAL	active_head	128|256	6|8		official_samsung_or_market_head_seed	
SAMSUNG_GALAXY_S23	SAMSUNG	SAMSUNG		GALAXY_S	S23	Galaxy S23	SMARTPHONE	2023	A	A	GLOBAL	active_head	128|256	8		official_samsung_or_market_head_seed	
SAMSUNG_GALAXY_S23_ULTRA	SAMSUNG	SAMSUNG		GALAXY_S	S23	Galaxy S23 Ultra	SMARTPHONE	2023	A	A	GLOBAL	active_head	256|512|1024	8|12		official_samsung_or_market_head_seed	
SAMSUNG_GALAXY_A35_5G	SAMSUNG	SAMSUNG		GALAXY_A	A35	Galaxy A35 5G	SMARTPHONE	2024	A	B	GLOBAL	active_head	128|256	6|8		official_samsung_or_market_head_seed	
SAMSUNG_GALAXY_S24_PLUS	SAMSUNG	SAMSUNG		GALAXY_S	S24	Galaxy S24+	SMARTPHONE	2024	A	A	GLOBAL	active_head	256|512	12		official_samsung_or_market_head_seed	
SAMSUNG_GALAXY_Z_FLIP6	SAMSUNG	SAMSUNG		GALAXY_Z	Z_FLIP	Galaxy Z Flip6	SMARTPHONE	2024	A	A	GLOBAL	active_head	256|512	12		official_samsung_or_market_head_seed	
SAMSUNG_GALAXY_Z_FOLD6	SAMSUNG	SAMSUNG		GALAXY_Z	Z_FOLD	Galaxy Z Fold6	SMARTPHONE	2024	A	A	GLOBAL	active_head	256|512|1024	12		official_samsung_or_market_head_seed	
SAMSUNG_GALAXY_A36_5G	SAMSUNG	SAMSUNG		GALAXY_A	A36	Galaxy A36 5G	SMARTPHONE	2025	A	B	GLOBAL	active_head	128|256	6|8		official_samsung_or_market_head_seed	
SAMSUNG_GALAXY_S25_PLUS	SAMSUNG	SAMSUNG		GALAXY_S	S25	Galaxy S25+	SMARTPHONE	2025	A	A	GLOBAL	active_head	256|512	12		official_samsung_or_market_head_seed	
VIVO_VIVO_X200_PRO	VIVO	VIVO		VIVO_X	X200	vivo X200 Pro	SMARTPHONE	2024	A	B	GLOBAL	active_head	256|512|1024	12|16		market_head_seed_soft	
XIAOMI_XIAOMI_14_ULTRA	XIAOMI	XIAOMI		XIAOMI_NUMBER	14	Xiaomi 14 Ultra	SMARTPHONE	2024	A	B	GLOBAL	active_head	256|512|1024	12|16		official_xiaomi_or_market_head_seed	
XIAOMI_XIAOMI_14T_PRO	XIAOMI	XIAOMI		XIAOMI_T	14T	Xiaomi 14T Pro	SMARTPHONE	2024	A	B	GLOBAL	active_head	256|512|1024	12		official_xiaomi_or_market_head_seed	
XIAOMI_XIAOMI_15	XIAOMI	XIAOMI		XIAOMI_NUMBER	15	Xiaomi 15	SMARTPHONE	2025	A	B	GLOBAL	active_head	256|512	12		official_xiaomi_or_market_head_seed	
XIAOMI_XIAOMI_15_ULTRA	XIAOMI	XIAOMI		XIAOMI_NUMBER	15	Xiaomi 15 Ultra	SMARTPHONE	2025	A	B	GLOBAL	active_head	256|512|1024	12|16		official_xiaomi_or_market_head_seed	
APPLE_IPHONE_11	APPLE	APPLE		IPHONE	11	iPhone 11	SMARTPHONE	2019	B	A	GLOBAL	active_head	64|128|256			official_apple_compare_2026_05	
APPLE_IPHONE_12_PRO	APPLE	APPLE		IPHONE	12	iPhone 12 Pro	SMARTPHONE	2020	B	A	GLOBAL	active_head	128|256|512			official_apple_compare_2026_05	
APPLE_IPHONE_12_PRO_MAX	APPLE	APPLE		IPHONE	12	iPhone 12 Pro Max	SMARTPHONE	2020	B	A	GLOBAL	active_head	128|256|512			official_apple_compare_2026_05	
APPLE_IPHONE_13_MINI	APPLE	APPLE		IPHONE	13	iPhone 13 mini	SMARTPHONE	2021	B	B	GLOBAL	active_head	128|256|512			official_apple_compare_2026_05	
APPLE_IPHONE_14_PLUS	APPLE	APPLE		IPHONE	14	iPhone 14 Plus	SMARTPHONE	2022	B	A	GLOBAL	active_head	128|256|512			official_apple_compare_2026_05	
APPLE_IPHONE_SE_3RD_GENERATION	APPLE	APPLE		IPHONE	SE	iPhone SE (3rd generation)	SMARTPHONE	2022	B	B	GLOBAL	active_head	64|128|256			official_apple_compare_2026_05	
ASUS_ASUS_ROG_PHONE_8_PRO	ASUS	ASUS		ROG_PHONE	8	ASUS ROG Phone 8 Pro	SMARTPHONE	2024	B	C	GLOBAL	active_head	512|1024	16|24		market_head_seed_soft	
GOOGLE_PIXEL_7	GOOGLE	GOOGLE		PIXEL	7	Pixel 7	SMARTPHONE	2022	B	B	GLOBAL	active_head	128|256	8		official_google_store_or_market_head_seed	
GOOGLE_PIXEL_7_PRO	GOOGLE	GOOGLE		PIXEL	7	Pixel 7 Pro	SMARTPHONE	2022	B	B	GLOBAL	active_head	128|256|512	12		official_google_store_or_market_head_seed	
GOOGLE_PIXEL_7A	GOOGLE	GOOGLE		PIXEL	7A	Pixel 7a	SMARTPHONE	2023	B	B	GLOBAL	active_head	128	8		official_google_store_or_market_head_seed	
GOOGLE_PIXEL_9_PRO_FOLD	GOOGLE	GOOGLE		PIXEL	9	Pixel 9 Pro Fold	SMARTPHONE	2024	B	B	GLOBAL	active_head	256|512	16		official_google_store_or_market_head_seed	
HONOR_HONOR_200_PRO	HONOR	HONOR		HONOR_NUMBER	200	Honor 200 Pro	SMARTPHONE	2024	B	B	GLOBAL	active_head	256|512	12		market_head_seed_soft	
HONOR_HONOR_X9C	HONOR	HONOR		HONOR_X	X9	Honor X9c	SMARTPHONE	2024	B	B	GLOBAL	active_head	256|512	8|12		market_head_seed_soft	
HUAWEI_HUAWEI_NOVA_13_PRO	HUAWEI	HUAWEI		HUAWEI_NOVA	NOVA_13	Huawei Nova 13 Pro	SMARTPHONE	2024	B	C	GLOBAL	active_head	256|512	12		market_head_seed_soft	
MOTOROLA_MOTO_G85_5G	MOTOROLA	MOTOROLA		MOTO_G	G85	Moto G85 5G	SMARTPHONE	2024	B	B	GLOBAL	active_head	128|256	8|12		market_head_seed_soft	
MOTOROLA_MOTOROLA_EDGE_50_PRO	MOTOROLA	MOTOROLA		MOTO_EDGE	EDGE_50	Motorola Edge 50 Pro	SMARTPHONE	2024	B	B	GLOBAL	active_head	256|512	12		market_head_seed_soft	
MOTOROLA_MOTOROLA_RAZR_50_ULTRA	MOTOROLA	MOTOROLA		MOTO_RAZR	RAZR_50	Motorola Razr 50 Ultra	SMARTPHONE	2024	B	B	GLOBAL	active_head	256|512	12		market_head_seed_soft	
NOTHING_NOTHING_PHONE_2A	NOTHING	NOTHING		NOTHING_PHONE	PHONE_2A	Nothing Phone (2a)	SMARTPHONE	2024	B	B	GLOBAL	active_head	128|256	8|12		market_head_seed_soft	
ONEPLUS_ONEPLUS_NORD_4	ONEPLUS	ONEPLUS		ONEPLUS_NORD	NORD_4	OnePlus Nord 4	SMARTPHONE	2024	B	B	GLOBAL	active_head	128|256|512	8|12|16		market_head_seed_soft	
OPPO_OPPO_RENO13_PRO	OPPO	OPPO		OPPO_RENO	RENO_13	OPPO Reno13 Pro	SMARTPHONE	2025	B	B	GLOBAL	active_head	256|512	12		market_head_seed_soft	
REALME_REALME_14_PRO_PLUS	REALME	REALME		REALME_NUMBER	14	realme 14 Pro+	SMARTPHONE	2025	B	B	GLOBAL	active_head	256|512	8|12		market_head_seed_soft	
REDMI_REDMI_NOTE_13	REDMI	XIAOMI	XIAOMI	REDMI_NOTE	NOTE_13	Redmi Note 13	SMARTPHONE	2024	B	B	GLOBAL	active_head	128|256	6|8		official_xiaomi_or_market_head_seed	
SAMSUNG_GALAXY_S22	SAMSUNG	SAMSUNG		GALAXY_S	S22	Galaxy S22	SMARTPHONE	2022	B	B	GLOBAL	active_head	128|256	8		official_samsung_or_market_head_seed	
SAMSUNG_GALAXY_S22_ULTRA	SAMSUNG	SAMSUNG		GALAXY_S	S22	Galaxy S22 Ultra	SMARTPHONE	2022	B	B	GLOBAL	active_head	128|256|512|1024	8|12		official_samsung_or_market_head_seed	
SAMSUNG_GALAXY_A34_5G	SAMSUNG	SAMSUNG		GALAXY_A	A34	Galaxy A34 5G	SMARTPHONE	2023	B	B	GLOBAL	active_head	128|256	6|8		official_samsung_or_market_head_seed	
SAMSUNG_GALAXY_S23_PLUS	SAMSUNG	SAMSUNG		GALAXY_S	S23	Galaxy S23+	SMARTPHONE	2023	B	B	GLOBAL	active_head	256|512	8		official_samsung_or_market_head_seed	
SAMSUNG_GALAXY_Z_FLIP5	SAMSUNG	SAMSUNG		GALAXY_Z	Z_FLIP	Galaxy Z Flip5	SMARTPHONE	2023	B	B	GLOBAL	active_head	256|512	8		official_samsung_or_market_head_seed	
SAMSUNG_GALAXY_Z_FOLD5	SAMSUNG	SAMSUNG		GALAXY_Z	Z_FOLD	Galaxy Z Fold5	SMARTPHONE	2023	B	B	GLOBAL	active_head	256|512|1024	12		official_samsung_or_market_head_seed	
SAMSUNG_GALAXY_M35_5G	SAMSUNG	SAMSUNG		GALAXY_M	M35	Galaxy M35 5G	SMARTPHONE	2024	B	B	GLOBAL	active_head	128|256	6|8		official_samsung_or_market_head_seed	
SAMSUNG_GALAXY_M55_5G	SAMSUNG	SAMSUNG		GALAXY_M	M55	Galaxy M55 5G	SMARTPHONE	2024	B	B	GLOBAL	active_head	128|256	8		official_samsung_or_market_head_seed	
SONY_SONY_XPERIA_1_VI	SONY	SONY		XPERIA_1	VI	Sony Xperia 1 VI	SMARTPHONE	2024	B	C	GLOBAL	active_head	256|512	12		market_head_seed_soft	
VIVO_VIVO_V50	VIVO	VIVO		VIVO_V	V50	vivo V50	SMARTPHONE	2025	B	B	GLOBAL	active_head	128|256|512	8|12		market_head_seed_soft	
XIAOMI_XIAOMI_14T	XIAOMI	XIAOMI		XIAOMI_T	14T	Xiaomi 14T	SMARTPHONE	2024	B	B	GLOBAL	active_head	256|512	12		official_xiaomi_or_market_head_seed	
ASUS_ASUS_ZENFONE_11_ULTRA	ASUS	ASUS		ZENFONE	11	ASUS Zenfone 11 Ultra	SMARTPHONE	2024	C	C	GLOBAL	active_head	256|512	12|16		market_head_seed_soft	
BLACKVIEW_BLACKVIEW_BV9900_PRO	BLACKVIEW	BLACKVIEW		BV	9900	Blackview BV9900 Pro	SMARTPHONE	2020	C	C	GLOBAL	active_head	128	8		market_head_seed_soft	
CAT_CAT_S75	CAT	CAT		CAT_S	S75	CAT S75	SMARTPHONE	2023	C	C	GLOBAL	active_head	128	6		market_head_seed_soft	
INFINIX_INFINIX_HOT_50_PRO_PLUS	INFINIX	INFINIX		HOT	50	Infinix Hot 50 Pro+	SMARTPHONE	2024	C	C	GLOBAL	active_head	128|256	8		market_head_seed_soft	
INFINIX_INFINIX_NOTE_40_PRO_PLUS_5G	INFINIX	INFINIX		NOTE	40	Infinix Note 40 Pro+ 5G	SMARTPHONE	2024	C	C	GLOBAL	active_head	256	12		market_head_seed_soft	
NOKIA_NOKIA_3310	NOKIA	NOKIA		NOKIA_OLD	3310	Nokia 3310	SMARTPHONE	2017	C	B	GLOBAL	active_head	16MB			market_head_seed_soft	
NOKIA_NOKIA_G42_5G	NOKIA	NOKIA		NOKIA_G	G42	Nokia G42 5G	SMARTPHONE	2023	C	C	GLOBAL	active_head	128|256	4|6		market_head_seed_soft	
NOTHING_CMF_PHONE_1	NOTHING	NOTHING		CMF_PHONE	PHONE_1	CMF Phone 1	SMARTPHONE	2024	C	C	GLOBAL	active_head	128|256	6|8		market_head_seed_soft	
OPPO_OPPO_A5_PRO_5G	OPPO	OPPO		OPPO_A	A5	OPPO A5 Pro 5G	SMARTPHONE	2025	C	C	GLOBAL	active_head	128|256	6|8		market_head_seed_soft	
REALME_REALME_C75	REALME	REALME		REALME_C	C75	realme C75	SMARTPHONE	2024	C	C	GLOBAL	active_head	128|256	6|8		market_head_seed_soft	
SONY_SONY_XPERIA_5_V	SONY	SONY		XPERIA_5	V	Sony Xperia 5 V	SMARTPHONE	2023	C	C	GLOBAL	active_head	128|256	8		market_head_seed_soft	
TECNO_TECNO_CAMON_30_PRO_5G	TECNO	TECNO		CAMON	30	Tecno Camon 30 Pro 5G	SMARTPHONE	2024	C	C	GLOBAL	active_head	256|512	8|12		market_head_seed_soft	
TECNO_TECNO_SPARK_20_PRO_PLUS	TECNO	TECNO		SPARK	20	Tecno Spark 20 Pro+	SMARTPHONE	2024	C	C	GLOBAL	active_head	128|256	8		market_head_seed_soft	
ULEFONE_ULEFONE_ARMOR_27T_PRO	ULEFONE	ULEFONE		ARMOR	27	Ulefone Armor 27T Pro	SMARTPHONE	2024	C	C	GLOBAL	active_head	256	12		market_head_seed_soft	
VIVO_VIVO_Y200_5G	VIVO	VIVO		VIVO_Y	Y200	vivo Y200 5G	SMARTPHONE	2024	C	C	GLOBAL	active_head	128|256	8		market_head_seed_soft	
