query_ru	expected_category	expected_shoe_type	target_gender	age_group	expected_facets	negative_route	notes_ru
ботинки с мембраной goretex	FASH.SHOES	BOOTS	UNISEX	ADULT	waterproof_level=MEMBRANE		membrane
кроссовки 24 см по стельке	FASH.SHOES	SNEAKERS	UNISEX	ADULT	insole_length_cm=24		insole length
обувь размер 25-26	FASH.SHOES	OTHER_SHOES	UNISEX	KIDS	raw_size_text=25-26		size range raw
мужские сандалии кожаные	FASH.SHOES	SANDALS	MEN	ADULT	material_upper=LEATHER		men sandals
женские мюли на каблуке	FASH.SHOES	HEELS	WOMEN	ADULT	heel_type=BLOCK		mules as heels fallback
кроссовки без шнурков	FASH.SHOES	SNEAKERS	UNISEX	ADULT	closure_type=SLIP_ON		no laces
ботинки на липучках детские	FASH.SHOES	KIDS_SHOES	KIDS	KIDS	closure_type=VELCRO		velcro kids
домашние угги тапочки	FASH.SHOES	SLIPPERS	UNISEX	ADULT	season=INDOOR		home slippers
туфли квадратный нос	FASH.SHOES	SHOES	UNISEX	ADULT	toe_shape=SQUARE		toe shape
ботинки timberland 43	FASH.SHOES	BOOTS	MEN	ADULT	brand=Timberland;size=43		boots brand
dr martens ботинки 1460	FASH.SHOES	BOOTS	UNISEX	ADULT	brand=Dr. Martens;model_name_text=1460		model text
мужская футболка nike	FASH.APPAREL_COMMON		MEN	ADULT	brand=Nike	FASH.SHOES	apparel head
женское платье zara	FASH.APPAREL_COMMON		WOMEN	ADULT	brand=Zara	FASH.SHOES	apparel head
детская куртка reima	FASH.APPAREL_COMMON		KIDS	KIDS	brand=Reima	FASH.SHOES	apparel head
джинсы мужские 32 размер	FASH.APPAREL_COMMON		MEN	ADULT	size=32	FASH.SHOES	apparel size conflict
худи adidas	FASH.APPAREL_COMMON		UNISEX	ADULT	brand=Adidas	FASH.SHOES	apparel head
пальто женское черное	FASH.APPAREL_COMMON		WOMEN	ADULT	color=BLACK	FASH.SHOES	apparel head
рюкзак nike	FASH.BAGS		UNISEX	ADULT	brand=Nike	FASH.SHOES	bag head
сумка adidas спортивная	FASH.BAGS		UNISEX	ADULT	brand=Adidas	FASH.SHOES	bag head
кошелек кожаный мужской	FASH.BAGS		MEN	ADULT	material=LEATHER	FASH.SHOES	wallet to bags
кардхолдер zara	FASH.BAGS		UNISEX	ADULT	brand=Zara	FASH.SHOES	cardholder to bags
сумка для обуви	FASH.BAGS		UNISEX	ADULT		FASH.SHOES	container phrase
чемодан детский	FASH.BAGS		KIDS	KIDS		FASH.SHOES	suitcase
ремень кожаный	FASH.ACCESSORIES		UNISEX	ADULT	material=LEATHER	FASH.SHOES	accessory head
шарф женский zara	FASH.ACCESSORIES		WOMEN	ADULT	brand=Zara	FASH.SHOES	accessory head
перчатки reima детские	FASH.ACCESSORIES		KIDS	KIDS	brand=Reima	FASH.SHOES	accessory head
очки солнцезащитные	FASH.ACCESSORIES		UNISEX	ADULT		FASH.SHOES	accessory head
apple watch ремешок	TECH.WEARABLES		UNISEX	ADULT	brand=Apple	FASH.SHOES	smart watch guard
смарт-часы samsung	TECH.WEARABLES		UNISEX	ADULT	brand=Samsung	FASH.SHOES	smartwatch
фитнес браслет xiaomi	TECH.WEARABLES		UNISEX	ADULT	brand=Xiaomi	FASH.SHOES	wearable
nike	AMBIGUOUS_NO_ROUTE				brand=Nike	FASH.SHOES	brand only must not route
женские 38 размер	AMBIGUOUS_NO_ROUTE		WOMEN	ADULT	size=38	FASH.SHOES	gender+size without head
черные 42	AMBIGUOUS_NO_ROUTE				color=BLACK;size=42	FASH.SHOES	color+size without head
