attribute_code	label_ru	label_en	data_type	role	required_policy	allowed_values_source	unit_policy	usage_scope	ui_visibility	validation_notes
screen_resolution	Разрешение экрана	Screen resolution	enum_or_text	T1_TYPE_RELEVANT	required_when_category_coverage_matrix_marks_required	values.tech_specs_common.v1_0.tsv#screen_resolution	canonical_resolution_or_raw_text	TECH.PHONES|TECH.COMPUTERS|TECH.TABLETS_E_READERS|TECH.MONITORS_DISPLAYS|TECH.TV_HOME_THEATER|TECH.CAMERAS_DRONES|TECH.GAMING	facet_when_relevant	Normalize common labels and keep exact px text when available.
refresh_rate_hz	Частота обновления	Refresh rate	integer	T1_TYPE_RELEVANT	required_when_category_coverage_matrix_marks_required	values.tech_specs_common.v1_0.tsv#refresh_rate_hz	normalize_to_Hz	TECH.PHONES|TECH.COMPUTERS|TECH.TABLETS_E_READERS|TECH.MONITORS_DISPLAYS|TECH.TV_HOME_THEATER|TECH.GAMING	facet_when_relevant	Hz must not be confused with CPU/GPU frequency.
battery_capacity_mah	Ёмкость аккумулятора мА·ч	Battery capacity mAh	integer	T1_TYPE_RELEVANT	required_when_category_coverage_matrix_marks_required		mAh	TECH.PHONES|TECH.TABLETS_E_READERS|TECH.WEARABLES|TECH.CAMERAS_DRONES|TECH.GAMING|TECH.PHONE_ACCESSORIES|TECH.POWER_CHARGING_CABLES	shown_when_relevant	mAh depends on voltage; Wh preferred for cross-device energy comparison.
battery_capacity_wh	Ёмкость аккумулятора Вт·ч	Battery capacity Wh	decimal	T1_TYPE_RELEVANT	required_when_category_coverage_matrix_marks_required		Wh	TECH.COMPUTERS|TECH.TABLETS_E_READERS|TECH.WEARABLES|TECH.CAMERAS_DRONES|TECH.POWER_CHARGING_CABLES	shown_when_relevant	Use Wh where available for laptops/power stations/batteries.
power_watts	Мощность	Power watts	decimal	T1_TYPE_RELEVANT	required_when_category_coverage_matrix_marks_required	values.tech_specs_common.v1_0.tsv#power_watts	W	TECH.PHONE_ACCESSORIES|TECH.POWER_CHARGING_CABLES|TECH.COMPUTER_ACCESSORIES|TECH.TV_HOME_THEATER|TECH.AUDIO|TECH.SMART_HOME_SECURITY|TECH.PRINTERS_SCANNERS|TECH.CAR_ELECTRONICS_GPS	facet_when_relevant	Charger/cable/device power; contextual label needed by category.
connector_type	Тип разъёма	Connector type	multi_enum	T1_TYPE_RELEVANT	required_when_category_coverage_matrix_marks_required	values.tech_specs_common.v1_0.tsv#connector_type	NONE	TECH.*	facet_when_relevant	Common connector vocabulary; does not imply compatibility target.
wireless_standard	Беспроводной стандарт	Wireless standard	multi_enum	T1_TYPE_RELEVANT	required_when_category_coverage_matrix_marks_required	values.tech_specs_common.v1_0.tsv#wireless_standard	NONE	TECH.*	facet_when_relevant	Wi-Fi/Bluetooth/NFC/UWB/cellular standards.
os_family	Операционная система	OS family	enum	T1_TYPE_RELEVANT	required_when_category_coverage_matrix_marks_required	values.tech_specs_common.v1_0.tsv#os_family	NONE	TECH.PHONES|TECH.COMPUTERS|TECH.TABLETS_E_READERS|TECH.TV_HOME_THEATER|TECH.WEARABLES|TECH.GAMING|TECH.SMART_HOME_SECURITY	facet_when_relevant	OS version belongs to T2 unless category requires it.
chipset_text	Чипсет / процессор text	Chipset text	string	T1_TYPE_RELEVANT	required_when_category_coverage_matrix_marks_required		raw_text_plus_runtime_candidates	TECH.PHONES|TECH.COMPUTERS|TECH.TABLETS_E_READERS|TECH.PC_COMPONENTS|TECH.WEARABLES|TECH.GAMING|TECH.TV_HOME_THEATER	shown_when_relevant	Common layer stores text, category packs may normalize deeper.
dimensions	Габариты	Dimensions	dimension_set	T1_TYPE_RELEVANT	required_when_category_coverage_matrix_marks_required		mm	TECH.*	shown_when_relevant	Store structured length/width/height when present.
weight	Вес	Weight	decimal	T1_TYPE_RELEVANT	required_when_category_coverage_matrix_marks_required		normalize_to_g	TECH.*	facet_when_relevant	Normalize kg/g/lb/oz into grams and display locale-appropriate.
water_resistance	Влагозащита	Water resistance	enum	T1_TYPE_RELEVANT	required_when_category_coverage_matrix_marks_required	values.tech_specs_common.v1_0.tsv#water_resistance	NONE	TECH.PHONES|TECH.WEARABLES|TECH.AUDIO|TECH.CAMERAS_DRONES|TECH.SMART_HOME_SECURITY|TECH.CAR_ELECTRONICS_GPS	facet_when_relevant	IP/ATM labels require textual evidence.
network_generation	Поколение сети	Network generation	multi_enum	T1_TYPE_RELEVANT	required_when_category_coverage_matrix_marks_required	values.tech_specs_common.v1_0.tsv#network_generation	NONE	TECH.PHONES|TECH.TABLETS_E_READERS|TECH.NETWORKING|TECH.CAR_ELECTRONICS_GPS|TECH.SMART_HOME_SECURITY	facet_when_relevant	2G/3G/4G/LTE/5G plus network equipment standards.
bluetooth_version	Версия Bluetooth	Bluetooth version	enum	T1_TYPE_RELEVANT	required_when_category_coverage_matrix_marks_required	values.tech_specs_common.v1_0.tsv#bluetooth_version	NONE	TECH.*	facet_when_relevant	Head value set; long-tail via runtime candidates.
wi_fi_standard	Стандарт Wi-Fi	Wi-Fi standard	multi_enum	T1_TYPE_RELEVANT	required_when_category_coverage_matrix_marks_required	values.tech_specs_common.v1_0.tsv#wi_fi_standard	NONE	TECH.PHONES|TECH.COMPUTERS|TECH.TABLETS_E_READERS|TECH.NETWORKING|TECH.SMART_HOME_SECURITY|TECH.TV_HOME_THEATER|TECH.GAMING	facet_when_relevant	Wi-Fi 6E/7 normalized separately from generic wireless_standard.
form_factor	Форм-фактор	Form factor	enum	T1_TYPE_RELEVANT	required_when_category_coverage_matrix_marks_required	values.tech_specs_common.v1_0.tsv#form_factor	NONE	TECH.*	facet_when_relevant	Generic physical form; category packs may override type-specific values.
power_source	Источник питания	Power source	multi_enum	T1_TYPE_RELEVANT	required_when_category_coverage_matrix_marks_required	values.tech_specs_common.v1_0.tsv#power_source	NONE	TECH.*	facet_when_relevant	AC/battery/USB/PoE/car/solar/passive.
storage_type	Тип накопителя	Storage type	multi_enum	T2_OPTIONAL_ENRICHMENT	optional_or_required_by_child_pack	values.tech_specs_common.v1_0.tsv#storage_type	NONE	TECH.COMPUTERS|TECH.PC_COMPONENTS|TECH.STORAGE_MEMORY|TECH.GAMING	facet_when_relevant	SSD/HDD/NVMe/eMMC/UFS/memory card.
memory_type	Тип памяти	Memory type	enum	T2_OPTIONAL_ENRICHMENT	optional_or_required_by_child_pack	values.tech_specs_common.v1_0.tsv#memory_type	NONE	TECH.COMPUTERS|TECH.PC_COMPONENTS|TECH.GAMING	facet_when_relevant	DDR generations etc.
cpu_cores	Количество ядер CPU	CPU cores	integer	T2_OPTIONAL_ENRICHMENT	optional_or_required_by_child_pack	values.tech_specs_common.v1_0.tsv#cpu_cores	count	TECH.COMPUTERS|TECH.PHONES|TECH.TABLETS_E_READERS|TECH.PC_COMPONENTS	shown_when_relevant	Only when explicit.
cpu_frequency_ghz	Частота CPU	CPU frequency	decimal	T2_OPTIONAL_ENRICHMENT	optional_or_required_by_child_pack		GHz	TECH.COMPUTERS|TECH.PHONES|TECH.TABLETS_E_READERS|TECH.PC_COMPONENTS	shown_when_relevant	Do not confuse with refresh rate or Wi-Fi band.
gpu_text	Графика / GPU text	GPU text	string	T2_OPTIONAL_ENRICHMENT	optional_or_required_by_child_pack		raw_text	TECH.COMPUTERS|TECH.PC_COMPONENTS|TECH.GAMING|TECH.CAMERAS_DRONES	shown_when_relevant	Exact GPU model belongs to category/device packs if needed.
camera_resolution_mp	Разрешение камеры МП	Camera megapixels	decimal	T2_OPTIONAL_ENRICHMENT	optional_or_required_by_child_pack		MP	TECH.PHONES|TECH.CAMERAS_DRONES|TECH.SMART_HOME_SECURITY|TECH.CAR_ELECTRONICS_GPS|TECH.COMPUTER_ACCESSORIES	shown_when_relevant	Marketing MP is not enough to infer camera count.
video_resolution	Разрешение видео	Video resolution	multi_enum	T2_OPTIONAL_ENRICHMENT	optional_or_required_by_child_pack	values.tech_specs_common.v1_0.tsv#video_resolution	canonical_video_resolution	TECH.PHONES|TECH.CAMERAS_DRONES|TECH.SMART_HOME_SECURITY|TECH.CAR_ELECTRONICS_GPS|TECH.TV_HOME_THEATER|TECH.COMPUTER_ACCESSORIES	facet_when_relevant	4K/8K/1080p etc.
frame_rate_fps	Частота кадров	Frame rate	integer	T2_OPTIONAL_ENRICHMENT	optional_or_required_by_child_pack		fps	TECH.CAMERAS_DRONES|TECH.SMART_HOME_SECURITY|TECH.CAR_ELECTRONICS_GPS|TECH.TV_HOME_THEATER|TECH.COMPUTER_ACCESSORIES	shown_when_relevant	Needs resolution context when possible.
panel_type	Тип матрицы	Panel type	enum	T2_OPTIONAL_ENRICHMENT	optional_or_required_by_child_pack	values.tech_specs_common.v1_0.tsv#panel_type	NONE	TECH.MONITORS_DISPLAYS|TECH.TV_HOME_THEATER|TECH.COMPUTERS|TECH.TABLETS_E_READERS|TECH.PHONES	facet_when_relevant	IPS/OLED/VA/TN/MiniLED etc.
aspect_ratio	Соотношение сторон	Aspect ratio	enum	T2_OPTIONAL_ENRICHMENT	optional_or_required_by_child_pack	values.tech_specs_common.v1_0.tsv#aspect_ratio	NONE	TECH.MONITORS_DISPLAYS|TECH.TV_HOME_THEATER|TECH.COMPUTERS|TECH.TABLETS_E_READERS	facet_when_relevant	16:9/16:10/21:9 etc.
brightness_nits	Яркость	Brightness	integer	T2_OPTIONAL_ENRICHMENT	optional_or_required_by_child_pack		nits	TECH.MONITORS_DISPLAYS|TECH.TV_HOME_THEATER|TECH.PHONES|TECH.TABLETS_E_READERS|TECH.WEARABLES	shown_when_relevant	Peak vs typical should be stored in raw notes if ambiguous.
response_time_ms	Время отклика	Response time	decimal	T2_OPTIONAL_ENRICHMENT	optional_or_required_by_child_pack		ms	TECH.MONITORS_DISPLAYS|TECH.TV_HOME_THEATER|TECH.GAMING	facet_when_relevant	Gaming displays.
hdr_standard	HDR стандарт	HDR standard	multi_enum	T2_OPTIONAL_ENRICHMENT	optional_or_required_by_child_pack	values.tech_specs_common.v1_0.tsv#hdr_standard	NONE	TECH.MONITORS_DISPLAYS|TECH.TV_HOME_THEATER|TECH.PHONES|TECH.CAMERAS_DRONES	facet_when_relevant	HDR10/Dolby Vision etc.
ports_count	Количество портов	Ports count	integer	T2_OPTIONAL_ENRICHMENT	optional_or_required_by_child_pack	values.tech_specs_common.v1_0.tsv#ports_count	count	TECH.*	shown_when_relevant	When explicit or structured from port list.
port_list_text	Список портов text	Port list text	string	T2_OPTIONAL_ENRICHMENT	optional_or_required_by_child_pack		raw_text	TECH.*	shown_when_relevant	Raw list preserved for category packs.
data_transfer_rate	Скорость передачи данных	Data transfer rate	decimal	T2_OPTIONAL_ENRICHMENT	optional_or_required_by_child_pack		normalize_to_Gbps	TECH.STORAGE_MEMORY|TECH.POWER_CHARGING_CABLES|TECH.COMPUTER_ACCESSORIES|TECH.NETWORKING	facet_when_relevant	MB/s and Gbps kept distinct by parser.
read_speed_mbps	Скорость чтения	Read speed	decimal	T2_OPTIONAL_ENRICHMENT	optional_or_required_by_child_pack		MBps	TECH.STORAGE_MEMORY	facet_when_relevant	Storage memory.
write_speed_mbps	Скорость записи	Write speed	decimal	T2_OPTIONAL_ENRICHMENT	optional_or_required_by_child_pack		MBps	TECH.STORAGE_MEMORY	facet_when_relevant	Storage memory.
charging_standard	Стандарт зарядки	Charging standard	multi_enum	T2_OPTIONAL_ENRICHMENT	optional_or_required_by_child_pack	values.tech_specs_common.v1_0.tsv#charging_standard	NONE	TECH.PHONES|TECH.PHONE_ACCESSORIES|TECH.POWER_CHARGING_CABLES|TECH.COMPUTERS	facet_when_relevant	USB PD/QC/MagSafe etc; compatibility target belongs to compatibility pack.
input_voltage	Входное напряжение	Input voltage	string	T2_OPTIONAL_ENRICHMENT	optional_or_required_by_child_pack		V	TECH.POWER_CHARGING_CABLES|TECH.PHONE_ACCESSORIES|TECH.PC_COMPONENTS|TECH.PRINTERS_SCANNERS	shown_when_relevant	Ranges retained as text plus normalized min/max downstream.
output_voltage	Выходное напряжение	Output voltage	string	T2_OPTIONAL_ENRICHMENT	optional_or_required_by_child_pack		V	TECH.POWER_CHARGING_CABLES|TECH.PHONE_ACCESSORIES|TECH.PC_COMPONENTS	shown_when_relevant	Needs protocol context for chargers.
output_current_a	Выходной ток	Output current	decimal	T2_OPTIONAL_ENRICHMENT	optional_or_required_by_child_pack		A	TECH.POWER_CHARGING_CABLES|TECH.PHONE_ACCESSORIES|TECH.PC_COMPONENTS	shown_when_relevant	Amperes.
cable_length_m	Длина кабеля	Cable length	decimal	T2_OPTIONAL_ENRICHMENT	optional_or_required_by_child_pack	values.tech_specs_common.v1_0.tsv#cable_length_m	m	TECH.POWER_CHARGING_CABLES|TECH.PHONE_ACCESSORIES|TECH.COMPUTER_ACCESSORIES|TECH.AUDIO|TECH.TV_HOME_THEATER	facet_when_relevant	Normalize cm/m/ft.
energy_consumption_w	Потребление энергии	Energy consumption	decimal	T2_OPTIONAL_ENRICHMENT	optional_or_required_by_child_pack		W	TECH.TV_HOME_THEATER|TECH.MONITORS_DISPLAYS|TECH.PRINTERS_SCANNERS|TECH.SMART_HOME_SECURITY|TECH.NETWORKING	shown_when_relevant	Device consumption, not charger output.
noise_level_db	Уровень шума	Noise level	decimal	T2_OPTIONAL_ENRICHMENT	optional_or_required_by_child_pack		dB	TECH.PRINTERS_SCANNERS|TECH.PC_COMPONENTS|TECH.SMART_HOME_SECURITY|TECH.CAR_ELECTRONICS_GPS	shown_when_relevant	Fans/printers/projectors.
audio_channels	Аудиоканалы	Audio channels	enum	T2_OPTIONAL_ENRICHMENT	optional_or_required_by_child_pack	values.tech_specs_common.v1_0.tsv#audio_channels	NONE	TECH.AUDIO|TECH.TV_HOME_THEATER|TECH.GAMING	facet_when_relevant	2.0/2.1/5.1 etc.
microphone_count	Количество микрофонов	Microphone count	integer	T2_OPTIONAL_ENRICHMENT	optional_or_required_by_child_pack	values.tech_specs_common.v1_0.tsv#microphone_count	count	TECH.AUDIO|TECH.COMPUTER_ACCESSORIES|TECH.PHONES|TECH.SMART_HOME_SECURITY	shown_when_relevant	When explicit.
sensor_set	Набор датчиков	Sensor set	multi_enum	T2_OPTIONAL_ENRICHMENT	optional_or_required_by_child_pack	values.tech_specs_common.v1_0.tsv#sensor_set	NONE	TECH.PHONES|TECH.WEARABLES|TECH.SMART_HOME_SECURITY|TECH.CAMERAS_DRONES|TECH.CAR_ELECTRONICS_GPS	shown_when_relevant	Accelerometer/gyro/GPS/PIR etc.
ip_rating	IP рейтинг	IP rating	enum	T2_OPTIONAL_ENRICHMENT	optional_or_required_by_child_pack	values.tech_specs_common.v1_0.tsv#water_resistance	NONE	TECH.PHONES|TECH.WEARABLES|TECH.AUDIO|TECH.CAMERAS_DRONES|TECH.SMART_HOME_SECURITY|TECH.CAR_ELECTRONICS_GPS	facet_when_relevant	Alias of water_resistance where exact IP code is present.
operating_temperature	Рабочая температура	Operating temperature	range_text	T2_OPTIONAL_ENRICHMENT	optional_or_required_by_child_pack		C	TECH.CAMERAS_DRONES|TECH.SMART_HOME_SECURITY|TECH.NETWORKING|TECH.POWER_CHARGING_CABLES|TECH.CAR_ELECTRONICS_GPS	shown_when_relevant	Text range kept.
mounting_type	Тип крепления	Mounting type	multi_enum	T2_OPTIONAL_ENRICHMENT	optional_or_required_by_child_pack	values.tech_specs_common.v1_0.tsv#mounting_type	NONE	TECH.MONITORS_DISPLAYS|TECH.TV_HOME_THEATER|TECH.SMART_HOME_SECURITY|TECH.CAMERAS_DRONES|TECH.CAR_ELECTRONICS_GPS	facet_when_relevant	VESA/wall/desk/tripod/car.
color_depth	Глубина цвета	Color depth	enum	T2_OPTIONAL_ENRICHMENT	optional_or_required_by_child_pack	values.tech_specs_common.v1_0.tsv#color_depth	NONE	TECH.MONITORS_DISPLAYS|TECH.TV_HOME_THEATER|TECH.CAMERAS_DRONES	shown_when_relevant	8-bit/10-bit.
print_technology	Технология печати	Print technology	enum	T2_OPTIONAL_ENRICHMENT	optional_or_required_by_child_pack	values.tech_specs_common.v1_0.tsv#print_technology	NONE	TECH.PRINTERS_SCANNERS	facet_when_relevant	Printer-specific but normalized in common for future inheritance.
scan_resolution	Разрешение сканирования	Scan resolution	string	T2_OPTIONAL_ENRICHMENT	optional_or_required_by_child_pack		dpi	TECH.PRINTERS_SCANNERS	shown_when_relevant	DPI text.
network_speed	Скорость сети	Network speed	decimal	T2_OPTIONAL_ENRICHMENT	optional_or_required_by_child_pack	values.tech_specs_common.v1_0.tsv#network_speed	Mbps_or_Gbps	TECH.NETWORKING|TECH.COMPUTERS|TECH.COMPUTER_ACCESSORIES	facet_when_relevant	Normalize units and preserve advertised wording.
antenna_count	Количество антенн	Antenna count	integer	T2_OPTIONAL_ENRICHMENT	optional_or_required_by_child_pack	values.tech_specs_common.v1_0.tsv#antenna_count	count	TECH.NETWORKING|TECH.CAR_ELECTRONICS_GPS	shown_when_relevant	When explicit.
poe_support	Поддержка PoE	PoE support	boolean	T2_OPTIONAL_ENRICHMENT	optional_or_required_by_child_pack		NONE	TECH.NETWORKING|TECH.SMART_HOME_SECURITY	facet_when_relevant	Power over Ethernet support.
sim_support	Поддержка SIM/eSIM	SIM support	multi_enum	T2_OPTIONAL_ENRICHMENT	optional_or_required_by_child_pack	values.tech_specs_common.v1_0.tsv#sim_support	NONE	TECH.PHONES|TECH.TABLETS_E_READERS|TECH.CAR_ELECTRONICS_GPS|TECH.SMART_HOME_SECURITY	facet_when_relevant	SIM/eSIM/Dual SIM etc.
satellite_support	Спутниковая связь	Satellite support	boolean	T2_OPTIONAL_ENRICHMENT	optional_or_required_by_child_pack		NONE	TECH.PHONES|TECH.CAR_ELECTRONICS_GPS	shown_when_relevant	Only explicit.
battery_health_percent	Здоровье батареи	Battery health percent	integer_0_100	T2_OPTIONAL_ENRICHMENT	optional_or_required_by_child_pack		percent	TECH.PHONES|TECH.COMPUTERS|TECH.TABLETS_E_READERS|TECH.WEARABLES	shown_when_relevant	Used conditionally for used/refurbished offers; evidence required.
cycle_count	Количество циклов	Cycle count	integer	T2_OPTIONAL_ENRICHMENT	optional_or_required_by_child_pack		count	TECH.COMPUTERS|TECH.PHONES|TECH.TABLETS_E_READERS|TECH.WEARABLES	hidden_by_default	Battery cycles; sensitive to source proof.
factory_reset_status	Сброс до заводских настроек	Factory reset status	enum	T2_OPTIONAL_ENRICHMENT	optional_or_required_by_child_pack	values.tech_specs_common.v1_0.tsv#factory_reset_status	NONE	TECH.PHONES|TECH.COMPUTERS|TECH.TABLETS_E_READERS|TECH.WEARABLES	hidden_by_default	Used for trust/safety preflight, not core spec facet.
normalized_spec_key	Нормализованный ключ характеристик	Normalized spec key	string	T3_SYSTEM_HIDDEN	computed_internal_only		NONE	TECH.*	never_show_in_ui	Hash/key used for spec dedup.
spec_fingerprint	Отпечаток характеристик	Spec fingerprint	string	T3_SYSTEM_HIDDEN	computed_internal_only		NONE	TECH.*	never_show_in_ui	Computed fingerprint for merge/dedup.
raw_spec_tokens	Raw tokens характеристик	Raw spec tokens	json_array	T3_SYSTEM_HIDDEN	computed_internal_only		NONE	TECH.*	never_show_in_ui	Internal parser tokens.
raw_title_spec_tokens	Raw title spec tokens	Raw title spec tokens	json_array	T3_SYSTEM_HIDDEN	computed_internal_only		NONE	TECH.*	never_show_in_ui	Tokens from title.
raw_ocr_spec_tokens	Raw OCR spec tokens	Raw OCR spec tokens	json_array	T3_SYSTEM_HIDDEN	computed_internal_only		NONE	TECH.*	never_show_in_ui	Tokens from image OCR.
raw_source_spec_tokens	Raw source spec tokens	Raw source spec tokens	json_array	T3_SYSTEM_HIDDEN	computed_internal_only		NONE	TECH.*	never_show_in_ui	Tokens from source attributes.
spec_candidate_count	Количество spec-кандидатов	Spec candidate count	integer	T3_SYSTEM_HIDDEN	computed_internal_only		NONE	TECH.*	never_show_in_ui	Candidate count for review.
spec_conflict_set	Набор конфликтов характеристик	Spec conflict set	json_array	T3_SYSTEM_HIDDEN	computed_internal_only		NONE	TECH.*	never_show_in_ui	Conflicting extracted specs.
spec_unit_parse_notes	Заметки парсинга единиц	Spec unit parse notes	json_array	T3_SYSTEM_HIDDEN	computed_internal_only		NONE	TECH.*	never_show_in_ui	Parser notes.
spec_review_required	Требуется review характеристик	Spec review required	boolean	T3_SYSTEM_HIDDEN	computed_internal_only		NONE	TECH.*	never_show_in_ui	Computed review flag.
spec_review_reason	Причина review характеристик	Spec review reason	string	T3_SYSTEM_HIDDEN	computed_internal_only		NONE	TECH.*	never_show_in_ui	Computed reason.
source_evidence_fingerprint	Отпечаток evidence источника	Source evidence fingerprint	string	T3_SYSTEM_HIDDEN	computed_internal_only		NONE	TECH.*	never_show_in_ui	Evidence hash.
spec_runtime_version	Версия runtime specs	Spec runtime version	string	T3_SYSTEM_HIDDEN	computed_internal_only		NONE	TECH.*	never_show_in_ui	Version pinning.
unit_parser_version	Версия unit parser	Unit parser version	string	T3_SYSTEM_HIDDEN	computed_internal_only		NONE	TECH.*	never_show_in_ui	Parser version.
spec_last_verified_at	Дата последней проверки spec	Spec last verified at	datetime	T3_SYSTEM_HIDDEN	computed_internal_only		NONE	TECH.*	never_show_in_ui	Verification timestamp.
