attribute_code	label_ru	data_type	role	required_policy	value_source	usage_scope	inherited_from	notes_ru
weight_kg	Вес, кг	number	T2_OPTIONAL_ENRICHMENT	optional	range_kg	portable	TECH.SPECS_COMMON	
dimensions_text	Габариты текстом	string	T2_OPTIONAL_ENRICHMENT	optional	free_text	all	TECH.SPECS_COMMON	
thermal_profile	Тепловой/игровой профиль	enum	T2_OPTIONAL_ENRICHMENT	optional	values#thermal_profile	GAMING_LAPTOP|WORKSTATION|DESKTOP_PC		Маркетинговый/обобщённый field, не строгий.
workstation_class	Класс рабочей станции	enum	T1_TYPE_SPECIFIC	recommended_for_workstation	values#workstation_class	WORKSTATION		mobile/desktop/professional workstation.
ecc_memory_support	ECC память	boolean	T2_OPTIONAL_ENRICHMENT	optional	boolean	WORKSTATION	TECH.SPECS_COMMON	
certified_workstation_claim	Сертификация workstation	string	T2_OPTIONAL_ENRICHMENT	optional	free_text_claim	WORKSTATION		ISV/certification claim, не валидировать жёстко.
business_grade	Бизнес-класс	boolean	T2_OPTIONAL_ENRICHMENT	optional	boolean	LAPTOP|ULTRABOOK|DESKTOP_PC|MINI_PC|WORKSTATION		Для корпоративных серий: ThinkPad/Latitude/EliteBook/ProBook и т.д.
gaming_grade	Игровой класс	boolean	T2_OPTIONAL_ENRICHMENT	optional	boolean	GAMING_LAPTOP|DESKTOP_PC		По типу или явному gaming claim.
chromeos_support_status	Поддержка ChromeOS	enum|string	T1_TYPE_SPECIFIC	recommended_for_chromebook	values#chromeos_support_status	CHROMEBOOK		AUE можно хранить текстом, если известно.
thin_client_os	ОС тонкого клиента	enum|string	T1_TYPE_SPECIFIC	recommended_for_thin_client	values#thin_client_os	THIN_CLIENT		
enterprise_management_support	Корпоративное управление	boolean|string	T2_OPTIONAL_ENRICHMENT	optional	claim_text	THIN_CLIENT|WORKSTATION|LAPTOP		
color_family	Цвет	enum	T2_OPTIONAL_ENRICHMENT	optional	TECH.ELECTRONICS_COMMON#color_family	all	TECH.ELECTRONICS_COMMON	
warranty	Гарантия	enum|string	T2_OPTIONAL_ENRICHMENT	optional	TECH.ELECTRONICS_COMMON#warranty	all	TECH.ELECTRONICS_COMMON	
repair_history	История ремонта	enum|string	T2_OPTIONAL_ENRICHMENT	optional	TECH.ELECTRONICS_COMMON#repair_history	all	TECH.ELECTRONICS_COMMON	
original_box	Оригинальная коробка	boolean	T2_OPTIONAL_ENRICHMENT	optional	TECH.ELECTRONICS_COMMON#original_box	all	TECH.ELECTRONICS_COMMON	
included_accessories	Комплект	string|multi_enum	T2_OPTIONAL_ENRICHMENT	optional	TECH.ELECTRONICS_COMMON#included_accessories	all	TECH.ELECTRONICS_COMMON	
seller_bundle	Бандл продавца	boolean|string	T2_OPTIONAL_ENRICHMENT	optional	TECH.ELECTRONICS_COMMON#seller_bundle	all	TECH.ELECTRONICS_COMMON	
identity_confidence	Уверенность identity	system	T3_SYSTEM_HIDDEN	computed	system	all		Не выводить в UI.
identity_resolution_status	Статус identity resolution	system	T3_SYSTEM_HIDDEN	computed	values#identity_resolution_status	all		Не выводить в UI.
specs_confidence	Уверенность specs extraction	system	T3_SYSTEM_HIDDEN	computed	system	all		Не выводить в UI.
route_confidence	Уверенность маршрута	system	T3_SYSTEM_HIDDEN	computed	system	all		Не выводить в UI.
extraction_evidence	Доказательства извлечения	system	T3_SYSTEM_HIDDEN	computed	system	all		Не выводить в UI.
source_trace_id	ID источника	system	T3_SYSTEM_HIDDEN	computed	system	all		Не выводить в UI.
normalization_notes	Заметки нормализации	system	T3_SYSTEM_HIDDEN	computed	system	all		Не выводить в UI.
