attribute_code	role	data_type	cardinality	required_policy	usage_scope	value_source	ui_exposure	normalization_policy	validation_rule	owned_by	depends_on	description_ru
hardware_revision	T2_OPTIONAL_ENRICHMENT	string	single	optional_enrichment	identity_surface/review_support	runtime_candidates/source_attrs	expanded_field_or_review_only	normalize_if_present	non_empty_if_present	TECH.DEVICE_IDENTITY_COMMON	model	Hardware revision/Rev/stepping, если влияет на точную идентичность.
carrier_variant	T2_OPTIONAL_ENRICHMENT	string	single	optional_enrichment	identity_surface/review_support	runtime_candidates/source_attrs	expanded_field_or_review_only	normalize_if_present	non_empty_if_present	TECH.DEVICE_IDENTITY_COMMON	region_variant	Операторская версия: Verizon/AT&T/T-Mobile/locked/unlocked и т.д.
country_variant_text	T2_OPTIONAL_ENRICHMENT	string	single	optional_enrichment	identity_surface/review_support	runtime_candidates/source_attrs	expanded_field_or_review_only	normalize_if_present	non_empty_if_present	TECH.DEVICE_IDENTITY_COMMON	region_variant	Текстовая версия региона/страны из source.
retailer_sku	T2_OPTIONAL_ENRICHMENT	string	single	optional_enrichment	identity_surface/review_support	runtime_candidates/source_attrs	expanded_field_or_review_only	normalize_if_present	non_empty_if_present	TECH.DEVICE_IDENTITY_COMMON		SKU продавца/ритейлера, не равен model/MPN без evidence.
sku_vendor	T2_OPTIONAL_ENRICHMENT	string	single	optional_enrichment	identity_surface/review_support	runtime_candidates/source_attrs	expanded_field_or_review_only	normalize_if_present	non_empty_if_present	TECH.DEVICE_IDENTITY_COMMON		Vendor SKU/source SKU.
asin	T2_OPTIONAL_ENRICHMENT	string	single	optional_enrichment	identity_surface/review_support	runtime_candidates/source_attrs	expanded_field_or_review_only	normalize_if_present	non_empty_if_present	TECH.DEVICE_IDENTITY_COMMON		ASIN как marketplace identifier; не считается универсальным model ID.
model_year_text	T2_OPTIONAL_ENRICHMENT	string	single	optional_enrichment	identity_surface/review_support	runtime_candidates/source_attrs	expanded_field_or_review_only	normalize_if_present	non_empty_if_present	TECH.DEVICE_IDENTITY_COMMON	release_year	Текст года модели: 2020 model, 2023 version, late 2021 и т.д.
generation_number	T2_OPTIONAL_ENRICHMENT	integer	single	optional_enrichment	identity_surface/review_support	runtime_candidates/source_attrs	expanded_field_or_review_only	normalize_if_present	non_empty_if_present	TECH.DEVICE_IDENTITY_COMMON	generation	Числовая форма поколения, если извлечена без ambiguity.
image_model_text_visible	T2_OPTIONAL_ENRICHMENT	boolean	single	optional_enrichment	identity_surface/review_support	runtime_candidates/source_attrs	expanded_field_or_review_only	normalize_if_present	non_empty_if_present	TECH.DEVICE_IDENTITY_COMMON	raw_ocr_identity_tokens	На фото/OCR виден текст модели/кода.
logo_brand_visible	T2_OPTIONAL_ENRICHMENT	boolean	single	optional_enrichment	identity_surface/review_support	runtime_candidates/source_attrs	expanded_field_or_review_only	normalize_if_present	non_empty_if_present	TECH.DEVICE_IDENTITY_COMMON	brand	На фото виден логотип бренда; сам по себе не даёт exact model.
bundle_identity_exclusion	T2_OPTIONAL_ENRICHMENT	boolean	single	optional_enrichment	identity_surface/review_support	runtime_candidates/source_attrs	expanded_field_or_review_only	normalize_if_present	non_empty_if_present	TECH.DEVICE_IDENTITY_COMMON	identity_context_role	Объявление является бандлом/комплектом, где модель в title может быть не главным товаром.
identity_confidence_bucket	T2_OPTIONAL_ENRICHMENT	enum	single	optional_enrichment	identity_surface/review_support	values#identity_confidence_bucket	expanded_field_or_review_only	normalize_if_present	non_empty_if_present	TECH.DEVICE_IDENTITY_COMMON	identity_confidence	Человекочитаемый bucket confidence для UI/review.
identity_review_reason	T2_OPTIONAL_ENRICHMENT	list[enum]	multi	optional_enrichment	identity_surface/review_support	runtime_candidates/source_attrs	expanded_field_or_review_only	normalize_if_present	non_empty_if_present	TECH.DEVICE_IDENTITY_COMMON	identity_review_required	Причины review: ambiguous brand, model conflict, compatibility context, weak evidence.
identity_conflict_notes	T2_OPTIONAL_ENRICHMENT	text	single	optional_enrichment	identity_surface/review_support	runtime_candidates/source_attrs	expanded_field_or_review_only	normalize_if_present	non_empty_if_present	TECH.DEVICE_IDENTITY_COMMON	identity_review_required	Короткое объяснение конфликта identity для QA/review.
device_identity_key	T3_SYSTEM_HIDDEN	string	single	system_generated	system_hidden	computed/runtime	hidden	system_only	must_not_surface_in_ui	TECH.DEVICE_IDENTITY_COMMON		Стабильный ключ identity для dedup/merge: brand+family+model+variant+region+identifier evidence.
canonical_product_key	T3_SYSTEM_HIDDEN	string	single	system_generated	system_hidden	computed/runtime	hidden	system_only	must_not_surface_in_ui	TECH.DEVICE_IDENTITY_COMMON		Ключ canonical product после downstream identity pack/registry resolution.
dedup_fingerprint	T3_SYSTEM_HIDDEN	string	single	system_generated	system_hidden	computed/runtime	hidden	system_only	must_not_surface_in_ui	TECH.DEVICE_IDENTITY_COMMON		Hash/fingerprint для кандидата дубля.
identity_candidate_count	T3_SYSTEM_HIDDEN	integer	single	system_generated	system_hidden	computed/runtime	hidden	system_only	must_not_surface_in_ui	TECH.DEVICE_IDENTITY_COMMON		Количество кандидатов identity при resolution.
raw_title_identity_tokens	T3_SYSTEM_HIDDEN	list[string]	multi	system_generated	system_hidden	computed/runtime	hidden	system_only	must_not_surface_in_ui	TECH.DEVICE_IDENTITY_COMMON		Сырые токены identity из title.
raw_ocr_identity_tokens	T3_SYSTEM_HIDDEN	list[string]	multi	system_generated	system_hidden	computed/runtime	hidden	system_only	must_not_surface_in_ui	TECH.DEVICE_IDENTITY_COMMON		Сырые токены OCR из фото/скриншота/упаковки.
raw_barcode_payload	T3_SYSTEM_HIDDEN	string	single	system_generated	system_hidden	computed/runtime	hidden	system_only	must_not_surface_in_ui	TECH.DEVICE_IDENTITY_COMMON		Сырой payload штрихкода/QR до нормализации.
raw_model_candidates	T3_SYSTEM_HIDDEN	json	single	system_generated	system_hidden	computed/runtime	hidden	system_only	must_not_surface_in_ui	TECH.DEVICE_IDENTITY_COMMON		Список кандидатов модели с score/evidence/debug.
source_url_identity_tokens	T3_SYSTEM_HIDDEN	list[string]	multi	system_generated	system_hidden	computed/runtime	hidden	system_only	must_not_surface_in_ui	TECH.DEVICE_IDENTITY_COMMON		Identity tokens из URL/source path.
source_page_metadata	T3_SYSTEM_HIDDEN	json	single	system_generated	system_hidden	computed/runtime	hidden	system_only	must_not_surface_in_ui	TECH.DEVICE_IDENTITY_COMMON		Metadata source page/vendor feed.
serial_number_masked	T3_SYSTEM_HIDDEN	string	single	system_generated	system_hidden	computed/runtime	hidden	system_only	must_not_surface_in_ui	TECH.DEVICE_IDENTITY_COMMON		Замаскированный серийный номер; не выводить в публичный UI.
imei_hash	T3_SYSTEM_HIDDEN	string	single	system_generated	system_hidden	computed/runtime	hidden	system_only	must_not_surface_in_ui	TECH.DEVICE_IDENTITY_COMMON		Hash IMEI/MEID, если пользователь явно предоставил; не выводить.
image_embedding_id	T3_SYSTEM_HIDDEN	string	single	system_generated	system_hidden	computed/runtime	hidden	system_only	must_not_surface_in_ui	TECH.DEVICE_IDENTITY_COMMON		Служебный id image embedding.
title_embedding_id	T3_SYSTEM_HIDDEN	string	single	system_generated	system_hidden	computed/runtime	hidden	system_only	must_not_surface_in_ui	TECH.DEVICE_IDENTITY_COMMON		Служебный id title embedding.
identity_debug_trace	T3_SYSTEM_HIDDEN	json	single	system_generated	system_hidden	computed/runtime	hidden	system_only	must_not_surface_in_ui	TECH.DEVICE_IDENTITY_COMMON		Trace resolution pipeline.
identity_resolution_version	T3_SYSTEM_HIDDEN	string	single	system_generated	system_hidden	computed/runtime	hidden	system_only	must_not_surface_in_ui	TECH.DEVICE_IDENTITY_COMMON		Версия identity normalizer.
identity_last_resolved_at	T3_SYSTEM_HIDDEN	datetime	single	system_generated	system_hidden	computed/runtime	hidden	system_only	must_not_surface_in_ui	TECH.DEVICE_IDENTITY_COMMON		Timestamp последнего resolution.
