query	expected_categoryCode	expected_phone_accessory_type	expected_route_decision	notes_ru
магнитная зарядка 15w	TECH.PHONE_ACCESSORIES	WIRELESS_CHARGER	include	positive
wireless charger samsung phone	TECH.PHONE_ACCESSORIES	WIRELESS_CHARGER	include	positive
кабель iphone usb c lightning	TECH.PHONE_ACCESSORIES	CABLE	include	positive
type c кабель для телефона 2м	TECH.PHONE_ACCESSORIES	CABLE	include	positive
кабель usb c to usb c 60w для смартфона	TECH.PHONE_ACCESSORIES	CABLE	include	positive
зарядный провод samsung	TECH.PHONE_ACCESSORIES	CABLE	include	positive
провод для айфона	TECH.PHONE_ACCESSORIES	CABLE	include	positive
power bank для телефона 10000 mah	TECH.PHONE_ACCESSORIES	POWER_BANK	include	positive
магнитный пауэрбанк iphone magsafe	TECH.PHONE_ACCESSORIES	POWER_BANK	include	positive
внешний аккумулятор для смартфона 20000	TECH.PHONE_ACCESSORIES	POWER_BANK	include	positive
пауэрбанк с беспроводной зарядкой	TECH.PHONE_ACCESSORIES	POWER_BANK	include	positive
держатель телефона на стол	TECH.PHONE_ACCESSORIES	HOLDER	include	positive
холдер для смартфона	TECH.PHONE_ACCESSORIES	HOLDER	include	positive
крепление телефона на велосипед	TECH.PHONE_ACCESSORIES	HOLDER	include	positive
подставка для телефона настольная	TECH.PHONE_ACCESSORIES	STAND	include	positive
складная подставка смартфон	TECH.PHONE_ACCESSORIES	STAND	include	positive
стойка для телефона	TECH.PHONE_ACCESSORIES	STAND	include	positive
держатель телефона в машину	TECH.PHONE_ACCESSORIES	CAR_MOUNT	include	positive
автодержатель смартфона магнитный	TECH.PHONE_ACCESSORIES	CAR_MOUNT	include	positive
крепление телефона на решетку вентиляции	TECH.PHONE_ACCESSORIES	CAR_MOUNT	include	positive
переходник lightning на наушники	TECH.PHONE_ACCESSORIES	ADAPTER	include	positive
адаптер usb c на 3.5 для телефона	TECH.PHONE_ACCESSORIES	ADAPTER	include	positive
переходник type c для смартфона	TECH.PHONE_ACCESSORIES	ADAPTER	include	positive
док станция iphone	TECH.PHONE_ACCESSORIES	DOCK	include	positive
док для телефона usb c	TECH.PHONE_ACCESSORIES	DOCK	include	positive
зарядная док станция смартфон	TECH.PHONE_ACCESSORIES	DOCK	include	positive
magsafe wallet iphone	TECH.PHONE_ACCESSORIES	MAGSAFE_ACCESSORY	include	positive
магнитный кошелек на айфон	TECH.PHONE_ACCESSORIES	MAGSAFE_ACCESSORY	include	positive
magsafe ring holder	TECH.PHONE_ACCESSORIES	MAGSAFE_ACCESSORY	include	positive
магсейф аксессуар для телефона	TECH.PHONE_ACCESSORIES	MAGSAFE_ACCESSORY	include	positive
стилус для телефона android	TECH.PHONE_ACCESSORIES	STYLUS	include	positive
сенсорная ручка для смартфона	TECH.PHONE_ACCESSORIES	STYLUS	include	positive
touch pen phone	TECH.PHONE_ACCESSORIES	STYLUS	include	positive
ремешок на телефон	TECH.PHONE_ACCESSORIES	STRAP_CHARM	include	positive
phone charm	TECH.PHONE_ACCESSORIES	STRAP_CHARM	include	positive
шнурок для телефона на руку	TECH.PHONE_ACCESSORIES	STRAP_CHARM	include	positive
подвеска на телефон	TECH.PHONE_ACCESSORIES	STRAP_CHARM	include	positive
скрепка для сим карты iphone	TECH.PHONE_ACCESSORIES	SIM_TOOL	include	positive
sim ejector tool	TECH.PHONE_ACCESSORIES	SIM_TOOL	include	positive
лоток sim iphone 12	TECH.PHONE_ACCESSORIES	SIM_TOOL	include	positive
сим адаптер набор	TECH.PHONE_ACCESSORIES	SIM_TOOL	include	positive
дисплей iphone 11 оригинал	TECH.PHONE_ACCESSORIES	REPLACEMENT_PART	include	positive
аккумулятор samsung s21	TECH.PHONE_ACCESSORIES	REPLACEMENT_PART	include	positive
порт зарядки redmi note 10	TECH.PHONE_ACCESSORIES	REPLACEMENT_PART	include	positive
камера iphone 13 pro	TECH.PHONE_ACCESSORIES	REPLACEMENT_PART	include	positive
задняя крышка iphone 12	TECH.PHONE_ACCESSORIES	REPLACEMENT_PART	include	positive
чистящий набор для телефона	TECH.PHONE_ACCESSORIES	CLEANING_KIT	include	positive
салфетка для экрана смартфона	TECH.PHONE_ACCESSORIES	CLEANING_KIT	include	positive
щетка для порта iphone	TECH.PHONE_ACCESSORIES	CLEANING_KIT	include	positive
спрей для экрана телефона	TECH.PHONE_ACCESSORIES	CLEANING_KIT	include	positive
iphone 13 128gb	TECH.PHONES		exclude	device not accessory
samsung galaxy s24 ultra	TECH.PHONES		exclude	device not accessory
apple watch ремешок 45mm	TECH.WEARABLES		exclude	watch band
ремешок для смарт часов	TECH.WEARABLES		exclude	wearable strap
чехол airpods pro	TECH.AUDIO		exclude	audio accessory
наушники bluetooth чехол	TECH.AUDIO		exclude	audio context
чехол ipad mini	TECH.TABLETS_E_READERS		exclude	tablet accessory
защитное стекло для планшета samsung tab	TECH.TABLETS_E_READERS		exclude	tablet
чехол для ноутбука 15	TECH.COMPUTER_ACCESSORIES		exclude	laptop accessory
кабель hdmi 2 метра	TECH.POWER_CHARGING_CABLES		exclude	generic cable
зарядка для ноутбука 65w	TECH.POWER_CHARGING_CABLES		exclude	laptop power
сумка для телефона через плечо	FASH.BAGS		exclude	bag
кошелек для телефона женский	FASH.BAGS		exclude	bag/wallet
игрушечный телефон чехол	TOYS_OR_KIDS		exclude	toy
поврежденный вздутый power bank	BLOCKED_REVIEW		review	battery safety
